"Name","Team","PA","Pitches","HR","AVG","OBP","SLG","OPS","SB","wOBA","wRC+","ISO","K%","GB%","LD%","FB%","HR/FB","Barrel%","EV","FA% (pfx)","wFA/C (pfx)","FT% (pfx)","wFT/C (pfx)","FC% (pfx)","wFC/C (pfx)","FS% (pfx)","wFS/C (pfx)","FO% (pfx)","wFO/C (pfx)","SI% (pfx)","wSI/C (pfx)","SL% (pfx)","wSL/C (pfx)","CU% (pfx)","wCU/C (pfx)","KC% (pfx)","wKC/C (pfx)","EP% (pfx)","wEP/C (pfx)","CH% (pfx)","wCH/C (pfx)","SC% (pfx)","wSC/C (pfx)","KN% (pfx)","wKN/C (pfx)","playerid"
"Martin Maldonado","Astros","89","371","3",".247",".375",".397",".772","1",".345","121",".151","30.3%","26.1%","37.0%","37.0%","17.6%","6.4%","86.6","30.2%","2.16","","","7.0%","-0.54","0.5%","-3.33","","","18.6%","2.33","16.2%","-4.53","12.7%","-4.84","2.4%","-5.94","","","12.4%","-1.55","","","","","6887"
"Paul DeJong","Cardinals","44","153","1",".308",".364",".436",".800","0",".345","119",".128","18.2%","31.3%","21.9%","46.9%","6.7%","6.3%","92.3","45.1%","1.48","","","5.2%","-12.80","","","","","7.8%","-4.82","33.3%","0.53","6.5%","-6.81","0.7%","-4.12","","","1.3%","4.06","","","","","18015"
"Raimel Tapia","Rockies","84","355","0",".300",".398",".371",".769","4",".345","101",".071","16.7%","52.6%","24.6%","22.8%","0.0%","0.0%","87.0","41.1%","0.08","","","9.3%","-3.43","2.0%","-2.76","","","17.8%","-1.99","8.7%","-0.74","9.0%","-2.71","1.1%","13.42","","","10.7%","3.11","","","","","14350"
"Josh Harrison","Nationals","32","118","2",".286",".313",".536",".848","1",".345","114",".250","6.3%","50.0%","21.4%","28.6%","25.0%","7.1%","83.8","26.3%","-1.01","","","8.5%","-9.59","3.4%","-14.13","","","15.3%","5.19","14.4%","-9.26","11.9%","-0.31","","","","","20.3%","-3.02","","","","","8202"
"Magneuris Sierra","Marlins","44","170","0",".278",".372",".417",".789","4",".344","120",".139","15.9%","60.7%","17.9%","21.4%","0.0%","0.0%","83.6","38.2%","2.81","","","1.2%","-10.87","4.1%","-0.87","","","14.7%","-6.67","12.4%","5.65","10.0%","-2.98","2.4%","0.08","","","17.1%","1.67","","","","","17023"
"Nick Senzel","Reds","53","183","2",".244",".327",".489",".816","2",".344","113",".244","18.9%","33.3%","25.0%","41.7%","13.3%","5.4%","90.6","31.2%","-1.52","","","9.3%","3.70","","","","","12.6%","8.32","33.3%","-3.74","6.6%","-5.90","2.7%","-9.81","","","4.4%","-12.49","","","","","19293"
"Kyle Schwarber","Cubs","120","518","7",".231",".333",".471",".804","1",".343","115",".240","32.5%","48.4%","20.3%","31.3%","35.0%","12.3%","94.4","37.5%","1.95","","","5.8%","-1.68","1.0%","2.97","","","14.9%","-0.96","17.8%","-2.52","9.1%","-3.27","1.4%","1.15","","","12.4%","-2.25","","","","","16478"
"Evan Longoria","Giants","109","402","4",".293",".330",".485",".815","0",".343","119",".192","12.8%","47.7%","19.3%","33.0%","13.8%","10.2%","90.6","36.6%","3.55","","","11.0%","-2.32","","","","","12.4%","0.72","20.4%","-3.13","7.2%","-6.72","3.0%","-3.66","","","9.0%","-2.37","","","","","9368"
"Carlos Correa","Astros","125","497","3",".288",".368",".423",".791","0",".342","119",".135","20.0%","52.3%","22.1%","25.6%","13.6%","4.7%","89.3","28.2%","-0.35","","","10.9%","-0.14","1.2%","1.79","","","15.7%","-0.81","23.3%","-1.79","8.7%","-0.25","2.6%","5.93","","","9.5%","-3.33","","","","","14162"
"Asdrubal Cabrera","Nationals","113","451","5",".257",".327",".475",".803","0",".341","111",".218","16.8%","49.4%","19.3%","31.3%","19.2%","6.0%","89.7","33.7%","-1.20","","","6.2%","-4.22","1.6%","18.20","","","19.1%","-1.07","16.9%","-3.89","8.9%","-2.07","2.2%","-4.47","","","11.5%","-2.20","","","","","4962"
"Yan Gomes","Nationals","53","188","2",".280",".321",".480",".801","0",".341","111",".200","15.1%","40.5%","26.2%","33.3%","14.3%","7.1%","89.9","31.9%","3.43","","","5.9%","-7.12","1.6%","-5.83","","","23.9%","-3.56","13.3%","5.37","10.1%","-3.84","2.1%","-9.12","","","11.2%","6.77","","","","","9627"
"Cesar Hernandez","Indians","144","612","2",".272",".364",".408",".772","0",".341","111",".136","21.5%","52.2%","19.6%","28.3%","7.7%","3.2%","89.2","37.5%","0.46","","","2.3%","-4.13","1.3%","-0.43","","","18.2%","0.49","16.2%","-0.67","8.0%","-4.41","1.5%","-2.09","","","15.1%","0.40","","","","","10556"
"Giovanny Urshela","Yankees","96","359","5",".241",".323",".482",".805","1",".340","115",".241","17.7%","36.8%","23.5%","39.7%","18.5%","11.8%","91.2","34.5%","-3.07","","","8.9%","2.06","1.7%","-0.63","","","18.1%","-4.58","15.3%","-2.55","8.4%","-1.63","4.5%","-0.74","","","8.6%","16.27","","","","","10681"
"Yasmani Grandal","White Sox","101","451","4",".241",".356",".422",".778","0",".339","116",".181","29.7%","30.9%","25.5%","43.6%","16.7%","7.3%","90.8","33.7%","0.29","","","7.8%","-5.31","1.1%","-27.08","","","15.3%","1.19","12.4%","-0.93","9.8%","-4.33","3.1%","-8.91","","","16.6%","-4.02","","","","","11368"
"Michael Brantley","Astros","75","325","1",".269",".347",".433",".780","1",".339","117",".164","13.3%","40.4%","22.8%","36.8%","4.8%","1.8%","89.2","34.8%","-2.24","","","8.0%","-1.47","3.1%","10.50","","","19.7%","-0.94","11.1%","0.89","6.8%","-1.69","2.2%","-9.91","","","14.5%","2.40","","","","","4106"
"Mike Tauchman","Yankees","63","273","0",".304",".381",".393",".774","5",".339","114",".089","27.0%","51.3%","28.2%","20.5%","0.0%","0.0%","85.0","40.3%","-2.05","","","11.4%","-4.25","1.8%","25.90","","","12.1%","-2.64","13.6%","0.65","4.4%","-5.80","2.9%","-3.51","","","13.6%","-1.06","","","","","15274"
"Kevin Plawecki","Red Sox","35","125","0",".333",".371",".394",".765","0",".338","109",".061","14.3%","53.6%","21.4%","25.0%","0.0%","0.0%","89.4","40.8%","1.93","","","5.6%","5.20","1.6%","-16.05","","","19.2%","-5.12","13.6%","1.38","7.2%","-2.71","0.8%","-4.12","","","11.2%","-2.23","","","","","13807"
"Joey Wendle","Rays","86","327","1",".291",".349",".430",".779","2",".338","117",".139","16.3%","44.6%","27.7%","27.7%","5.6%","3.1%","86.8","27.2%","-1.40","","","7.7%","3.24","8.6%","-3.54","","","16.5%","-0.49","15.3%","-3.68","9.2%","-4.95","1.8%","-5.58","","","13.8%","4.81","","","","","13853"
"Yoan Moncada","White Sox","130","529","5",".261",".338",".443",".782","0",".337","115",".183","28.5%","39.2%","25.3%","35.4%","17.9%","8.9%","87.2","33.8%","1.62","","","7.4%","-0.24","2.3%","-7.93","","","14.0%","0.25","12.5%","-3.43","9.6%","-0.75","4.5%","-2.08","","","15.5%","-2.32","","","","","17232"
"Anthony Rizzo","Cubs","130","563","6",".217",".354",".406",".760","0",".337","111",".189","18.5%","40.2%","25.6%","34.1%","21.4%","8.4%","88.6","36.1%","0.22","","","7.6%","-4.77","1.1%","-9.64","","","19.2%","0.76","14.0%","-4.01","7.3%","4.54","2.1%","0.05","","","12.4%","-1.29","","","","","3473"
"Austin Meadows","Rays","90","373","3",".247",".333",".455",".788","1",".336","115",".208","30.0%","26.9%","23.1%","50.0%","11.5%","3.9%","90.1","31.6%","-1.00","","","7.8%","-5.94","4.8%","4.27","","","18.0%","1.58","12.1%","-4.01","7.0%","5.48","4.0%","6.94","","","14.8%","-3.86","","","","","15672"
"Brian Anderson","Marlins","105","407","4",".233",".343",".422",".765","0",".335","114",".189","29.5%","54.2%","23.7%","22.0%","30.8%","6.8%","87.3","32.2%","0.71","","","5.7%","-1.26","3.2%","-5.42","","","13.0%","2.23","27.8%","-2.41","5.9%","-1.67","2.2%","-8.41","","","10.1%","-1.26","","","","","18289"
"Ketel Marte","Diamondbacks","138","492","1",".318",".348",".426",".774","1",".334","108",".109","12.3%","40.7%","24.8%","34.5%","2.6%","3.5%","88.8","36.4%","1.77","","","3.7%","-0.85","1.8%","3.87","","","16.3%","-3.58","14.6%","0.29","4.9%","-3.76","2.6%","-2.28","","","19.7%","0.82","","","","","13613"
"Joc Pederson","Dodgers","93","369","5",".215",".326",".443",".769","1",".334","113",".228","21.5%","41.4%","19.0%","39.7%","21.7%","10.0%","91.8","32.0%","3.02","","","6.5%","-1.15","4.1%","-9.39","","","8.9%","-6.12","13.8%","-2.47","9.2%","1.45","4.1%","-1.88","","","21.4%","-3.27","","","","","11899"
"Josh Reddick","Astros","117","481","1",".275",".353",".412",".765","0",".334","114",".137","17.1%","37.3%","27.7%","34.9%","3.4%","4.8%","86.3","40.1%","0.10","","","11.2%","-1.42","2.1%","-0.04","","","13.1%","-0.07","11.6%","-2.66","7.3%","1.22","1.0%","-5.21","","","13.5%","-0.85","","","","","3892"
"Freddy Galvis","Reds","99","367","6",".227",".313",".466",".779","0",".334","106",".239","16.2%","44.3%","12.9%","42.9%","20.0%","5.6%","87.8","30.5%","-2.61","","","6.5%","9.31","","","","","18.5%","2.27","11.4%","-0.10","13.4%","-4.16","2.5%","9.77","","","16.9%","-3.63","","","","","6609"
"Rowdy Tellez","Blue Jays","82","273","6",".240",".293",".520",".813","0",".334","110",".280","17.1%","41.9%","19.4%","38.7%","25.0%","8.1%","89.9","31.5%","-0.83","","","11.0%","3.78","6.6%","4.86","","","13.2%","-1.45","11.7%","-5.67","13.2%","3.90","3.3%","-7.07","","","9.5%","-0.34","","","","","15679"
"Matt Beaty","Dodgers","40","122","2",".250",".325",".444",".769","0",".334","113",".194","12.5%","41.9%","29.0%","29.0%","22.2%","3.2%","89.9","33.6%","-3.01","","","7.4%","25.24","1.6%","-16.45","","","13.1%","6.14","14.8%","-10.16","16.4%","-2.04","","","","","13.1%","-9.92","","","","","17710"
"Stephen Piscotty","Athletics","110","366","5",".267",".312",".475",".787","2",".334","114",".208","26.4%","46.6%","23.3%","30.1%","22.7%","6.8%","88.7","27.6%","-0.53","","","7.9%","-1.98","1.6%","-9.27","","","10.4%","-2.72","23.5%","-2.05","14.8%","4.79","1.4%","-10.76","","","12.6%","-1.30","","","","","13367"
"Sam Hilliard","Rockies","68","287","4",".230",".309",".475",".784","3",".333","93",".246","33.8%","43.2%","13.5%","43.2%","25.0%","13.2%","84.9","39.0%","0.42","","","8.0%","3.69","1.4%","11.70","","","17.4%","-0.77","16.0%","-3.77","5.2%","4.81","3.1%","-6.78","","","9.1%","-4.05","","","","","17954"
"Luis Garcia","Nationals","42","153","1",".317",".333",".439",".772","1",".333","106",".122","19.0%","63.6%","27.3%","9.1%","33.3%","6.1%","82.7","33.3%","2.71","","","5.2%","3.23","4.6%","-2.13","","","9.2%","-10.55","19.0%","0.61","9.2%","-3.04","3.3%","8.03","","","16.3%","-1.68","","","","","20391"
"Nick Solak","Rangers","121","472","2",".278",".355",".398",".754","3",".333","100",".120","17.4%","47.1%","23.0%","29.9%","7.7%","4.6%","90.5","38.6%","-1.26","","","5.3%","-3.11","1.1%","5.38","","","15.3%","-0.57","18.2%","-0.33","11.2%","-2.42","0.9%","4.78","","","9.5%","-3.04","","","","","19294"
"Jeimer Candelario","Tigers","104","402","2",".283",".317",".465",".782","0",".332","108",".182","27.9%","42.9%","28.6%","28.6%","10.0%","8.6%","90.6","38.6%","1.59","","","7.7%","-1.63","","","","","7.7%","7.05","14.9%","-4.88","12.2%","-3.70","4.2%","-8.14","","","14.7%","2.39","","","","","13621"
"Luis Urias","Brewers","52","214","0",".298",".365",".383",".748","1",".332","106",".085","19.2%","58.3%","22.2%","19.4%","0.0%","2.7%","88.5","24.8%","-1.65","","","7.5%","4.48","0.5%","1.90","","","20.6%","-0.37","24.3%","-3.42","9.8%","-4.92","5.6%","1.56","","","7.0%","-4.38","","","","","16622"
"Howie Kendrick","Nationals","74","282","2",".313",".351",".448",".799","0",".332","105",".134","18.9%","41.8%","36.4%","21.8%","16.7%","9.1%","89.4","29.1%","-0.71","","","8.2%","-1.07","0.4%","-22.98","","","19.9%","1.11","19.5%","-4.60","9.9%","-2.33","3.2%","-4.92","","","9.9%","-2.99","","","","","4229"
"Matt Davidson","Reds","36","143","3",".212",".278",".515",".793","0",".331","104",".303","25.0%","25.0%","25.0%","50.0%","25.0%","16.7%","93.0","31.5%","-0.56","","","5.6%","1.21","","","","","20.3%","-2.05","18.2%","-8.66","7.0%","-5.93","2.1%","-12.79","","","15.4%","8.69","","","","","7226"
"Harold Castro","Tigers","33","135","0",".276",".364",".379",".743","0",".331","107",".103","18.2%","43.5%","30.4%","26.1%","0.0%","0.0%","90.5","51.9%","-1.26","","","7.4%","-3.26","","","","","8.2%","-2.71","14.1%","5.65","3.0%","21.99","4.4%","-4.17","","","11.1%","-4.54","","","","","14691"
"Sam Haggerty","Mariners","38","152","1",".297",".316",".459",".775","4",".331","112",".162","26.3%","44.4%","25.9%","29.6%","12.5%","3.7%","91.5","42.8%","0.73","","","1.3%","36.21","2.6%","-5.91","","","15.1%","1.68","15.8%","-3.64","6.6%","-7.19","0.7%","-5.65","","","15.1%","-2.59","","","","","18054"
"Joey Gallo","Rangers","120","518","7",".184",".333",".439",".772","2",".331","99",".255","35.0%","24.1%","18.5%","57.4%","22.6%","16.1%","90.6","33.0%","-0.70","","","10.0%","-2.89","0.6%","-12.88","","","15.3%","3.18","14.7%","-0.53","11.6%","-1.80","2.9%","-1.46","","","12.0%","-0.01","","","","","14128"
"Ryan McMahon","Rockies","115","497","6",".206",".322",".443",".765","0",".330","91",".237","33.9%","44.1%","16.9%","39.0%","26.1%","10.2%","88.8","41.3%","1.16","","","8.5%","-1.88","1.4%","-13.57","","","14.5%","-2.16","11.1%","-1.28","9.1%","-1.67","1.0%","-15.79","","","13.1%","-3.18","","","","","15112"
"Willi Castro","Tigers","35","130","2",".281",".294",".500",".794","0",".329","106",".219","31.4%","50.0%","9.1%","40.9%","22.2%","13.0%","86.0","40.0%","-5.27","","","7.7%","-4.89","","","","","10.0%","7.39","4.6%","7.36","14.6%","0.17","3.1%","-4.37","","","20.0%","8.36","","","","","17338"
"David Peralta","Diamondbacks","132","490","2",".300",".348",".408",".757","1",".329","105",".108","15.2%","47.1%","22.5%","30.4%","6.5%","2.9%","89.2","38.2%","0.78","","","4.5%","4.61","1.2%","-2.79","","","18.6%","-2.51","19.6%","-0.87","3.7%","-6.58","4.1%","5.16","","","10.2%","-3.28","","","","","2136"
"Francisco Lindor","Indians","142","582","5",".267",".324",".443",".767","1",".328","102",".176","19.7%","44.1%","25.5%","30.4%","16.1%","4.9%","89.0","32.3%","-1.63","","","2.8%","1.32","1.6%","-6.04","","","13.2%","-0.21","18.2%","0.15","9.8%","-2.84","1.7%","8.13","","","20.5%","-0.76","","","","","12916"
"Christian Yelich","Brewers","125","536","7",".190",".320",".448",".768","2",".328","104",".257","29.6%","52.9%","19.1%","27.9%","36.8%","10.3%","92.9","28.7%","2.24","","","8.4%","-2.82","0.6%","-8.39","","","21.6%","-1.80","13.6%","-3.20","11.6%","-2.49","3.9%","-4.02","","","11.6%","-1.39","","","","","11477"
"Manny Pina","Brewers","45","180","2",".231",".333",".410",".744","0",".328","104",".179","24.4%","17.9%","35.7%","46.4%","15.4%","10.7%","88.5","30.6%","-0.87","","","6.1%","1.03","","","","","22.2%","0.70","17.8%","-4.61","11.1%","-0.19","3.3%","3.96","","","8.9%","0.58","","","","","2829"
"Nolan Arenado","Rockies","131","436","7",".259",".313",".491",".804","0",".327","89",".233","6.9%","34.2%","16.2%","49.5%","12.7%","7.2%","87.3","40.8%","-1.38","","","11.5%","-2.24","1.6%","7.76","","","10.1%","3.37","20.0%","-1.54","8.0%","-0.58","0.2%","3.42","","","7.6%","-9.46","","","","","9777"
"Tim Locastro","Diamondbacks","28","109","0",".250",".357",".375",".732","1",".327","103",".125","28.6%","12.5%","37.5%","50.0%","0.0%","0.0%","89.4","45.9%","-3.60","","","0.9%","83.04","","","","","14.7%","-1.91","11.0%","2.34","7.3%","-5.66","","","","","20.2%","0.77","","","","","15124"
"Jesus Aguilar","Marlins","102","398","4",".280",".314",".462",".776","0",".326","108",".183","17.6%","35.9%","29.5%","34.6%","14.8%","7.7%","88.1","38.7%","2.06","","","4.0%","-7.21","1.5%","-7.34","","","15.3%","-4.06","21.4%","-2.71","5.0%","-1.29","5.5%","1.81","","","8.5%","-4.72","","","","","11342"
"Leury Garcia","White Sox","63","226","3",".271",".317",".441",".758","0",".326","107",".169","14.3%","50.0%","18.0%","32.0%","18.8%","6.0%","87.3","35.0%","-0.11","","","7.5%","-2.53","0.4%","","","","14.2%","0.39","11.5%","6.93","13.3%","-0.99","3.5%","-15.36","","","14.6%","-0.97","","","","","5913"
"Chris Owings","Rockies","44","155","2",".268",".318",".439",".757","1",".326","89",".171","25.0%","36.7%","20.0%","43.3%","15.4%","3.3%","86.9","38.7%","0.48","","","5.8%","19.37","2.6%","-7.16","","","9.7%","4.17","19.4%","-3.36","9.7%","-7.53","1.3%","-0.35","","","12.9%","-6.39","","","","","10030"
"Aaron Hicks","Yankees","95","420","2",".205",".347",".397",".745","0",".326","105",".192","17.9%","50.0%","21.7%","28.3%","11.8%","4.9%","88.0","28.3%","-0.36","","","8.6%","2.12","1.9%","3.94","","","16.0%","5.03","12.4%","-1.85","13.8%","-1.66","0.7%","-0.12","","","18.3%","-6.02","","","","","5297"
"Dustin Garneau","Astros","21","85","1",".176",".300",".471",".771","0",".326","108",".294","28.6%","27.3%","27.3%","45.5%","20.0%","8.3%","89.2","29.4%","7.89","","","2.4%","1.71","1.2%","-5.65","","","30.6%","-6.67","12.9%","-3.06","5.9%","-3.79","","","","","17.7%","-2.95","","","","","9433"
"Chris Taylor","Dodgers","115","459","2",".245",".357",".367",".724","3",".325","107",".122","26.1%","53.7%","25.4%","20.9%","14.3%","7.4%","86.3","29.0%","0.33","","","9.8%","-4.98","2.2%","12.31","","","15.9%","-0.05","20.0%","-3.68","9.4%","-1.81","1.1%","-2.00","","","12.6%","-2.34","","","","","13757"
"Matt Kemp","Rockies","78","318","3",".246",".333",".420",".754","0",".324","87",".174","25.6%","49.0%","20.4%","30.6%","20.0%","10.2%","85.4","31.8%","-0.37","","","7.2%","-2.19","0.9%","-15.44","","","14.2%","-5.14","22.3%","-4.31","9.8%","1.98","0.3%","4.41","","","13.5%","1.78","","","","","5631"
"Pete Alonso","Mets","130","538","6",".220",".346",".413",".759","0",".324","107",".193","28.5%","45.8%","19.4%","34.7%","24.0%","11.1%","88.9","32.5%","-1.53","","","10.2%","0.69","0.7%","-31.30","","","19.3%","-3.06","16.4%","1.44","11.0%","-4.78","2.0%","-1.32","","","7.8%","-0.69","","","","","19251"
"Brandon Crawford","Giants","104","371","3",".258",".337",".398",".734","0",".323","106",".140","22.1%","47.1%","22.9%","30.0%","14.3%","8.6%","88.8","38.8%","-0.43","","","6.7%","1.25","0.5%","-6.14","","","12.9%","-5.30","16.7%","-3.47","6.7%","-0.04","3.0%","8.66","","","13.8%","2.44","","","","","5343"
"Matt Olson","Athletics","140","559","10",".178",".307",".449",".756","0",".323","106",".271","25.7%","35.0%","16.3%","48.8%","25.6%","12.2%","93.2","43.1%","-1.28","","","7.2%","0.16","2.0%","10.25","","","9.7%","-2.29","12.7%","0.48","7.9%","-0.74","0.5%","-3.25","","","17.0%","-3.78","","","","","14344"
"Ramon Laureano","Athletics","122","518","3",".208",".361",".344",".704","1",".322","106",".135","29.5%","38.7%","25.8%","35.5%","13.6%","6.5%","88.1","29.6%","-0.24","","","6.6%","-5.07","0.6%","-2.63","","","17.2%","1.88","19.9%","-5.53","11.4%","3.18","0.8%","-1.64","","","13.7%","-3.02","","","","","17128"
"Danny Mendick","White Sox","90","362","3",".265",".311",".446",".757","0",".322","104",".181","20.0%","47.0%","19.7%","33.3%","13.6%","3.0%","86.5","37.3%","0.20","","","7.2%","5.22","0.3%","","","","18.2%","-0.87","21.8%","-1.84","7.7%","0.76","1.9%","-7.69","","","5.5%","-9.86","","","","","18889"
"Mark Mathias","Brewers","28","116","0",".321",".321",".429",".750","1",".322","99",".107","25.0%","28.6%","42.9%","28.6%","0.0%","4.8%","85.7","31.0%","-0.13","","","12.9%","-5.24","","","","","27.6%","-1.70","13.8%","3.85","3.5%","-7.93","2.6%","29.33","","","8.6%","-0.39","","","","","18032"
"Ryan Lavarnway","Marlins","11","44","0",".364",".364",".364",".727","0",".321","104",".000","18.2%","44.4%","33.3%","22.2%","0.0%","0.0%","84.9","50.0%","3.15","","","","","","","","","13.6%","2.43","20.5%","-0.79","11.4%","-6.67","","","","","4.6%","1.86","","","","","8879"
"Jean Segura","Phillies","93","380","4",".235",".326",".407",".733","1",".321","99",".173","19.4%","44.4%","15.9%","39.7%","16.0%","6.3%","89.4","32.6%","-2.61","","","6.8%","-4.10","2.1%","-2.49","","","18.4%","3.69","21.6%","-5.07","10.8%","-2.93","0.3%","6.50","","","7.4%","8.82","","","","","5933"
"Eddie Rosario","Twins","127","468","7",".241",".307",".457",".764","2",".321","100",".216","15.7%","36.8%","15.8%","47.4%","15.6%","4.2%","87.4","36.8%","-1.44","","","5.1%","5.78","0.4%","0.14","","","14.5%","0.07","16.7%","1.62","10.3%","0.46","2.8%","-8.71","","","13.5%","-0.74","","","","","12155"
"Greg Garcia","Padres","41","173","0",".265",".359",".353",".712","0",".320","102",".088","26.8%","47.6%","23.8%","28.6%","0.0%","0.0%","81.4","42.1%","-1.26","","","9.7%","-5.75","2.3%","-1.50","","","14.2%","-3.21","5.7%","-9.25","6.8%","0.57","2.8%","-3.85","","","15.9%","6.16","","","","","10951"
"Jon Berti","Marlins","80","327","1",".275",".363",".348",".710","8",".320","104",".072","28.8%","50.0%","21.7%","28.3%","7.7%","2.1%","86.3","40.1%","-0.55","","","8.9%","-0.05","3.1%","-12.39","","","14.1%","1.20","18.7%","0.22","8.6%","-0.46","2.5%","-7.03","","","4.3%","-9.34","","","","","12037"
"Cameron Maybin","Tigers","42","171","1",".256",".310",".436",".745","0",".320","100",".179","31.0%","65.4%","15.4%","19.2%","20.0%","11.5%","88.1","33.9%","5.14","","","11.1%","-6.86","","","","","18.1%","-5.19","17.0%","-7.08","7.6%","5.88","1.8%","-9.14","","","10.5%","-5.57","","","","","5223"
"Starlin Castro","Nationals","63","262","2",".267",".302",".450",".752","0",".320","97",".183","20.6%","36.2%","21.3%","42.6%","10.0%","2.1%","87.1","28.2%","1.84","","","5.7%","9.70","0.8%","-8.67","","","15.3%","-0.93","24.8%","0.41","9.5%","-3.12","0.8%","-4.87","","","14.9%","-3.11","","","","","4579"
"Max Muncy","Dodgers","141","633","8",".188",".319",".410",".729","0",".319","103",".222","24.1%","45.2%","8.3%","46.4%","20.5%","13.1%","86.9","31.9%","0.99","","","6.3%","-4.35","3.2%","-0.92","","","10.9%","-3.79","19.1%","-2.37","11.1%","-0.47","3.0%","-1.77","","","14.5%","-3.72","","","","","13301"
"Todd Frazier","Rangers","113","477","2",".250",".336",".380",".716","1",".318","90",".130","20.4%","35.1%","26.0%","39.0%","6.7%","5.2%","87.1","36.9%","-0.01","","","7.6%","1.30","","","","","15.1%","-0.04","15.1%","-3.38","12.2%","-4.22","1.1%","-5.05","","","12.2%","-1.27","","","","","785"
"Eugenio Suarez","Reds","123","523","7",".190",".309",".419",".728","2",".317","95",".229","24.4%","38.7%","16.0%","45.3%","20.6%","13.3%","86.5","36.9%","-2.31","","","5.9%","9.64","0.6%","-2.53","","","20.3%","-4.46","18.6%","-0.22","7.8%","-2.84","1.5%","-16.33","","","8.4%","0.39","","","","","12552"
"George Springer","Astros","105","405","4",".193",".337",".373",".710","0",".317","102",".181","19.0%","36.9%","18.5%","44.6%","13.8%","9.1%","86.8","30.9%","-2.21","","","10.1%","-4.39","1.0%","-14.10","","","17.0%","-0.48","21.2%","-1.38","8.2%","1.61","1.2%","-7.13","","","10.4%","1.51","","","","","12856"
"Maikel Franco","Royals","126","475","5",".246",".286",".466",".752","1",".316","96",".220","19.0%","44.2%","20.0%","35.8%","14.7%","7.4%","87.0","26.1%","1.42","","","5.1%","5.51","1.1%","-13.05","","","16.0%","-3.28","26.1%","-1.58","13.1%","2.00","2.3%","-6.57","","","10.3%","-1.51","","","","","12179"
"Meibrys Viloria","Royals","14","56","0",".250",".357",".333",".690","0",".316","96",".083","28.6%","42.9%","42.9%","14.3%","0.0%","0.0%","88.9","48.2%","-1.68","","","","","","","","","8.9%","0.60","14.3%","8.87","14.3%","-2.28","5.4%","-7.02","","","8.9%","-2.60","","","","","17109"
"Jace Peterson","Brewers","5","25","0",".250",".400",".250",".650","0",".316","96",".000","40.0%","100.0%","0.0%","0.0%","0.0%","0.0%","91.9","36.0%","2.26","","","","","","","","","24.0%","0.02","4.0%","-4.12","20.0%","-5.57","","","","","16.0%","-7.24","","","","","12325"
"Adam Haseley","Phillies","25","100","0",".304",".333",".391",".725","0",".316","96",".087","28.0%","43.8%","37.5%","18.8%","0.0%","0.0%","87.4","34.0%","0.57","","","5.0%","-5.34","2.0%","-1.10","","","14.0%","9.56","4.0%","-1.90","15.0%","-4.35","6.0%","-7.74","","","20.0%","-4.55","","","","","19878"
"Garrett Hampson","Rockies","99","393","2",".256",".323",".407",".730","3",".316","82",".151","25.3%","36.8%","31.6%","31.6%","11.1%","7.7%","84.7","45.3%","-0.40","","","6.1%","2.46","0.5%","-12.10","","","16.3%","-4.11","15.5%","-1.56","5.1%","-5.80","2.5%","-6.07","","","8.7%","-5.57","","","","","19262"
"Kevin Pillar","Red Sox","118","447","3",".257",".314",".413",".726","1",".315","93",".156","19.5%","44.2%","16.3%","39.5%","8.8%","3.5%","85.4","29.8%","-3.99","","","5.4%","3.19","0.5%","13.67","","","19.0%","-2.66","15.2%","4.64","10.7%","-5.84","1.3%","8.78","","","18.1%","1.29","","","","","12434"
"Jason Castro","Angels","62","279","2",".192",".323",".385",".707","0",".313","99",".192","37.1%","20.7%","17.2%","62.1%","11.1%","17.2%","91.5","35.8%","-2.60","","","7.2%","1.08","1.1%","3.57","","","16.1%","-3.61","18.3%","-4.33","9.7%","-2.33","2.9%","-5.47","","","8.6%","0.85","","","","","8722"
"Aristides Aquino","Reds","9","32","0",".250",".333",".375",".708","1",".313","92",".125","33.3%","40.0%","40.0%","20.0%","0.0%","0.0%","80.9","15.6%","7.81","","","9.4%","-7.64","","","","","15.6%","-2.47","34.4%","3.54","12.5%","-9.10","","","","","12.5%","-11.65","","","","","15482"
"Kyle Farmer","Reds","44","159","0",".293",".341",".366",".707","1",".313","92",".073","15.9%","35.3%","26.5%","38.2%","0.0%","5.9%","90.0","29.6%","2.25","","","11.3%","1.63","0.6%","-5.97","","","20.1%","6.02","18.2%","-5.74","6.9%","-5.83","5.7%","-9.86","","","7.6%","-5.68","","","","","14813"
"Austin Romine","Tigers","78","293","2",".289",".308",".421",".729","0",".313","95",".132","28.2%","48.1%","24.1%","27.8%","13.3%","3.7%","88.4","38.9%","-0.28","","","6.1%","2.27","","","","","14.7%","-7.08","23.2%","2.37","10.6%","0.29","1.4%","-9.28","","","5.1%","6.75","","","","","5491"
"Adam Engel","White Sox","58","203","2",".255",".293",".436",".729","1",".312","98",".182","20.7%","45.2%","16.7%","38.1%","12.5%","2.3%","83.7","31.4%","0.31","","","5.9%","3.36","","","","","13.2%","-8.24","32.4%","-2.45","10.3%","7.00","2.0%","-0.62","","","4.9%","20.72","","","","","15082"
