"Name","Team","PA","Pitches","HR","AVG","OBP","SLG","OPS","SB","wOBA","wRC+","ISO","K%","GB%","LD%","FB%","HR/FB","Barrel%","EV","FA% (pfx)","wFA/C (pfx)","FT% (pfx)","wFT/C (pfx)","FC% (pfx)","wFC/C (pfx)","FS% (pfx)","wFS/C (pfx)","FO% (pfx)","wFO/C (pfx)","SI% (pfx)","wSI/C (pfx)","SL% (pfx)","wSL/C (pfx)","CU% (pfx)","wCU/C (pfx)","KC% (pfx)","wKC/C (pfx)","EP% (pfx)","wEP/C (pfx)","CH% (pfx)","wCH/C (pfx)","SC% (pfx)","wSC/C (pfx)","KN% (pfx)","wKN/C (pfx)","playerid"
"Aledmys Diaz","Astros","2","7","0",".500",".500",".500","1.000","0",".441","186",".000","0.0%","50.0%","50.0%","0.0%","0.0%","0.0%","98.8","","","","","28.6%","-4.12","","","","","57.1%","14.61","","","14.3%","-25.17","","","","","","","","","","","15937"
"Luis Guillorme","Mets","38","171","0",".419",".500",".516","1.016","1",".440","185",".097","18.4%","52.0%","40.0%","8.0%","0.0%","0.0%","89.1","36.8%","2.57","","","12.9%","-0.41","4.7%","-2.11","","","15.8%","-4.84","11.1%","-7.20","12.3%","-3.14","1.2%","3.92","","","5.3%","27.06","","","","","16451"
"Ryan Mountcastle","Orioles","24","89","0",".400",".500",".500","1.000","0",".440","181",".100","25.0%","50.0%","35.7%","14.3%","0.0%","7.1%","79.3","31.5%","0.40","","","12.4%","-2.97","","","","","10.1%","11.96","15.7%","3.70","12.4%","4.72","2.3%","-2.81","","","15.7%","-2.30","","","","","18373"
"Bo Bichette","Blue Jays","64","240","5",".361",".391",".672","1.063","4",".440","182",".311","17.2%","38.0%","26.0%","36.0%","27.8%","16.0%","89.5","35.4%","4.66","","","11.3%","-2.47","1.3%","-10.60","","","16.3%","7.25","10.4%","1.59","15.0%","-2.25","0.8%","-2.38","","","9.6%","8.90","","","","","19612"
"Phil Gosselin","Phillies","52","215","3",".362",".423",".617","1.040","0",".439","178",".255","23.1%","37.1%","31.4%","31.4%","27.3%","5.7%","85.1","34.4%","5.03","","","7.0%","5.82","0.5%","","","","18.6%","-1.28","15.4%","-3.65","11.2%","-3.19","0.9%","-1.62","","","12.1%","-0.37","","","","","10953"
"Giancarlo Stanton","Yankees","54","225","3",".293",".453",".585","1.038","1",".436","180",".293","20.4%","46.7%","23.3%","30.0%","33.3%","19.4%","91.0","28.0%","2.38","","","7.6%","-0.81","","","","","16.9%","-5.00","23.6%","-2.59","11.6%","3.43","1.3%","-17.81","","","11.1%","1.87","","","","","4949"
"Tyler Flowers","Braves","33","149","1",".333",".455",".556","1.010","0",".434","174",".222","42.4%","23.1%","30.8%","46.2%","16.7%","7.7%","92.6","42.3%","0.07","","","6.0%","-8.92","0.7%","144.33","","","12.1%","-0.18","16.8%","-2.49","12.1%","-4.03","1.3%","11.62","","","8.1%","-2.76","","","","","9134"
"Miguel Rojas","Marlins","38","140","2",".333",".421",".606","1.027","1",".433","179",".273","15.8%","33.3%","18.5%","48.1%","15.4%","0.0%","91.7","35.7%","2.28","","","6.4%","-6.80","1.4%","3.25","","","15.0%","2.07","27.1%","-1.03","7.1%","-0.46","2.1%","-1.70","","","5.0%","9.53","","","","","7802"
"Brandon Lowe","Rays","131","524","10",".292",".389",".655","1.044","0",".432","180",".363","24.4%","33.3%","22.2%","44.4%","27.8%","21.0%","89.1","26.2%","2.11","","","5.7%","5.60","4.6%","2.00","","","14.1%","1.42","20.8%","-1.52","9.4%","-0.58","3.6%","8.04","","","15.7%","2.04","","","","","18882"
"Nelson Cruz","Twins","127","493","11",".315",".402",".649","1.050","0",".432","176",".333","26.0%","47.4%","19.2%","33.3%","42.3%","16.7%","91.3","33.7%","2.89","","","6.9%","-1.21","","","","","14.2%","6.23","23.7%","-3.32","9.9%","2.48","3.5%","0.06","","","8.1%","1.05","","","","","2434"
"Bryce Harper","Phillies","111","416","7",".302",".445",".605","1.050","4",".431","173",".302","16.2%","36.9%","21.5%","41.5%","25.9%","15.7%","90.2","32.5%","0.99","","","9.4%","1.10","4.3%","1.98","","","10.6%","5.48","13.7%","-4.83","11.1%","-2.23","2.6%","-3.17","","","15.9%","-1.16","","","","","11579"
"Robinson Cano","Mets","80","250","4",".378",".413",".608","1.021","0",".429","178",".230","11.3%","40.9%","31.8%","27.3%","22.2%","6.1%","90.3","40.0%","-1.13","","","6.4%","2.69","1.2%","7.21","","","18.4%","-3.99","14.4%","-2.24","8.0%","19.84","2.8%","-8.71","","","8.8%","2.48","","","","","3269"
"DJ LeMahieu","Yankees","79","290","2",".411",".456",".534",".990","1",".429","175",".123","8.9%","65.2%","21.2%","13.6%","22.2%","3.0%","90.5","29.7%","3.03","","","9.7%","3.12","3.5%","6.60","","","25.2%","0.92","12.8%","-3.16","9.3%","-4.84","2.8%","-0.86","","","7.2%","5.82","","","","","9874"
"Jose Abreu","White Sox","138","521","12",".318",".362",".667","1.029","0",".426","175",".349","20.3%","46.5%","18.8%","34.7%","34.3%","14.9%","93.4","32.4%","1.64","","","5.4%","-0.59","0.6%","-11.72","","","18.6%","4.40","22.1%","-1.52","9.8%","-2.02","2.1%","22.17","","","9.0%","5.32","","","","","15676"
"Fernando Tatis Jr.","Padres","153","577","13",".301",".379",".647","1.026","6",".424","172",".346","25.5%","45.4%","15.5%","39.2%","34.2%","20.6%","95.6","34.1%","1.46","","","5.2%","6.48","1.6%","-5.35","","","18.2%","-0.03","15.1%","-1.20","8.7%","4.75","3.0%","8.45","","","14.0%","-1.88","","","","","19709"
"Paul Goldschmidt","Cardinals","93","412","3",".324",".473",".493",".966","0",".423","171",".169","14.0%","32.2%","32.2%","35.6%","14.3%","8.5%","87.6","30.6%","1.46","","","8.0%","1.69","1.2%","-2.32","","","18.0%","-0.84","21.6%","-2.96","11.4%","-1.83","1.2%","-4.48","","","7.8%","-2.29","","","","","9218"
"Brandon Belt","Giants","86","321","5",".316",".395",".605","1.001","0",".420","170",".289","26.7%","25.0%","34.6%","40.4%","23.8%","20.8%","91.9","45.2%","1.37","","","6.9%","2.74","1.3%","-2.44","","","10.6%","-2.66","12.5%","3.98","6.5%","-6.78","3.4%","-12.28","","","13.1%","3.22","","","","","10264"
"Andy Young","Diamondbacks","22","95","1",".250",".455",".500",".955","0",".420","165",".250","22.7%","45.5%","36.4%","18.2%","50.0%","9.1%","90.5","43.2%","-0.09","","","2.1%","4.96","","","","","5.3%","-11.22","24.2%","7.45","3.2%","-2.98","2.1%","3.92","","","20.0%","-2.76","","","","","19521"
"Michael Conforto","Mets","131","515","5",".330",".443",".523",".966","3",".419","171",".193","23.7%","42.3%","26.9%","30.8%","20.8%","11.5%","90.7","32.4%","-1.63","","","8.0%","1.34","2.1%","-1.48","","","13.2%","4.33","16.9%","0.87","12.6%","-3.28","3.5%","-1.49","","","11.3%","-0.72","","","","","16376"
"Kyle Lewis","Mariners","142","587","7",".347",".437",".537",".974","2",".418","172",".190","24.6%","46.0%","23.0%","31.0%","25.9%","10.3%","87.1","36.6%","-0.45","","","4.1%","-2.34","1.0%","0.09","","","16.0%","0.87","22.8%","0.29","6.0%","1.56","3.2%","11.26","","","9.9%","-0.20","","","","","19508"
"Manny Machado","Padres","149","561","11",".308",".389",".638","1.028","3",".418","168",".331","16.1%","33.6%","25.2%","41.1%","25.0%","15.0%","91.1","34.8%","2.60","","","8.2%","2.93","0.7%","0.31","","","16.4%","-1.69","18.9%","-1.52","7.1%","2.12","4.3%","-7.36","","","9.6%","-4.73","","","","","11493"
"Tim Anderson","White Sox","98","346","6",".337",".378",".620",".997","3",".418","169",".283","22.4%","55.7%","20.0%","24.3%","35.3%","11.4%","90.9","27.2%","3.43","","","6.4%","-3.61","0.9%","-8.34","","","21.4%","-3.62","20.8%","2.70","9.3%","5.42","2.3%","-8.96","","","11.9%","0.92","","","","","15172"
"Freddie Freeman","Braves","128","498","5",".308",".422",".570",".992","0",".416","162",".262","16.4%","32.6%","32.6%","34.9%","16.7%","12.8%","91.1","32.9%","4.14","","","2.8%","-1.68","8.2%","-3.92","","","15.1%","1.66","18.9%","-1.39","6.2%","-2.59","1.2%","12.30","","","14.7%","-3.61","","","","","5361"
"Mike Yastrzemski","Giants","149","628","7",".290",".409",".589",".998","1",".416","167",".298","21.5%","40.2%","14.1%","45.7%","16.7%","10.9%","87.8","42.7%","1.19","","","4.5%","4.91","0.5%","-4.57","","","13.2%","-0.71","14.2%","-1.77","8.8%","-1.20","3.0%","-5.43","","","12.9%","2.73","","","","","14854"
"Eloy Jimenez","White Sox","122","426","11",".322",".352",".652","1.005","0",".415","168",".330","23.0%","52.3%","18.2%","29.5%","42.3%","20.5%","92.4","28.2%","6.41","","","3.3%","4.49","1.9%","-3.67","","","17.8%","-1.03","27.0%","-0.66","8.5%","0.34","1.6%","-6.33","","","11.7%","2.12","","","","","17484"
"Jake Cronenworth","Padres","99","386","3",".348",".404",".584",".988","1",".415","166",".236","15.2%","41.3%","30.7%","28.0%","14.3%","13.3%","90.7","37.1%","0.77","","","7.5%","-4.94","1.6%","-6.86","","","20.7%","0.75","8.0%","-4.35","7.0%","4.99","4.2%","6.50","","","13.7%","4.58","","","","","18036"
"Edwin Rios","Dodgers","31","110","3",".276",".323",".690","1.012","0",".415","167",".414","29.0%","25.0%","25.0%","50.0%","30.0%","15.0%","94.8","23.6%","7.46","","","11.8%","4.39","","","","","11.8%","-4.39","17.3%","3.58","11.8%","-0.31","5.5%","-6.05","","","18.2%","7.04","","","","","18316"
"Teoscar Hernandez","Blue Jays","123","488","12",".295",".350",".661","1.010","4",".415","166",".366","28.5%","32.1%","28.2%","39.7%","38.7%","19.2%","94.4","28.1%","5.22","","","9.8%","1.59","2.5%","-8.34","","","15.4%","7.29","20.1%","-2.87","9.0%","-5.20","1.6%","-2.34","","","13.5%","-0.53","","","","","13066"
"Wil Myers","Padres","125","488","8",".297",".376",".613",".989","1",".413","164",".315","27.2%","35.1%","27.3%","37.7%","27.6%","16.9%","91.1","30.7%","0.82","","","5.3%","-2.54","2.7%","-8.90","","","15.0%","-0.86","17.4%","3.80","13.9%","0.18","4.1%","-3.42","","","10.7%","2.81","","","","","10047"
"Chance Sisco","Orioles","64","299","4",".260",".422",".540",".962","0",".413","162",".280","37.5%","38.5%","34.6%","26.9%","57.1%","15.4%","90.3","32.4%","2.83","","","7.4%","0.11","7.4%","-0.59","","","16.4%","-3.99","10.0%","7.82","14.4%","-1.09","3.0%","-1.87","","","9.0%","-1.79","","","","","15694"
"Trevor Story","Rockies","145","588","9",".305",".386",".602",".988","8",".412","146",".297","19.3%","23.0%","24.0%","53.0%","17.0%","11.0%","91.4","37.4%","1.43","","","8.8%","-0.64","1.0%","-11.79","","","16.8%","-2.10","15.3%","1.67","8.5%","1.45","1.9%","-1.67","","","10.2%","-2.05","","","","","12564"
"Robbie Grossman","Athletics","103","414","4",".263",".427",".550",".977","4",".412","167",".288","18.4%","36.1%","24.6%","39.3%","16.7%","8.2%","88.7","40.9%","2.17","","","3.9%","-8.53","2.7%","-4.84","","","9.0%","-0.71","13.6%","-0.31","8.2%","3.34","1.0%","-17.77","","","20.6%","2.33","","","","","5254"
"Mike Brosseau","Rays","50","193","3",".318",".380",".614",".994","0",".411","166",".295","32.0%","51.7%","10.3%","37.9%","27.3%","10.3%","89.9","31.6%","-1.10","","","11.9%","-3.20","","","","","17.6%","3.99","11.9%","-6.55","8.3%","15.54","3.6%","-3.54","","","15.0%","-0.39","","","","","19683"
"Anthony Rendon","Angels","124","490","6",".307",".435",".525",".960","0",".411","165",".218","15.3%","34.1%","25.6%","40.2%","18.2%","4.9%","90.6","34.7%","-2.18","","","9.4%","0.20","1.2%","-2.00","","","18.8%","2.28","17.1%","1.52","9.0%","-0.16","1.2%","-2.22","","","8.6%","0.63","","","","","12861"
"Ian Happ","Cubs","121","511","6",".286",".417",".551",".968","1",".410","160",".265","23.1%","42.9%","25.7%","31.4%","27.3%","9.9%","90.8","37.6%","1.34","","","5.1%","2.44","1.6%","-8.11","","","15.7%","-0.26","13.7%","-2.69","7.2%","0.27","1.0%","-12.75","","","18.2%","-1.09","","","","","17919"
"Jose Iglesias","Orioles","63","233","0",".400",".413",".550",".963","0",".409","160",".150","14.3%","40.4%","46.2%","13.5%","0.0%","1.9%","88.6","27.0%","1.12","","","12.9%","2.40","0.4%","","","","18.9%","3.49","16.3%","-0.97","12.5%","0.17","1.3%","-9.87","","","10.7%","0.98","","","","","10231"
"Anderson Tejeda","Rangers","7","14","1",".286",".286",".714","1.000","1",".409","152",".429","0.0%","57.1%","0.0%","42.9%","33.3%","14.3%","95.6","35.7%","-4.43","","","21.4%","-9.13","","","","","","","7.1%","48.02","7.1%","3.42","","","","","28.6%","13.07","","","","","19909"
"Phillip Evans","Pirates","45","159","1",".359",".444",".487",".932","0",".408","160",".128","15.6%","46.9%","18.8%","34.4%","9.1%","3.1%","85.5","33.3%","-1.85","","","7.6%","-10.08","0.6%","-18.51","","","20.8%","1.53","21.4%","4.66","9.4%","0.31","3.8%","7.69","","","3.1%","-6.66","","","","","12950"
"Trea Turner","Nationals","129","498","6",".322",".388",".583",".970","3",".407","155",".261","13.2%","44.4%","18.2%","37.4%","16.2%","6.1%","89.7","33.3%","0.16","","","7.8%","1.38","1.2%","-8.22","","","17.9%","4.43","18.9%","-2.14","6.6%","4.89","2.0%","-13.96","","","12.3%","-1.99","","","","","16252"
"Charlie Blackmon","Rockies","135","490","4",".374",".422",".545",".967","0",".407","142",".171","15.6%","32.4%","31.4%","36.3%","10.8%","5.8%","88.1","41.0%","1.18","","","8.2%","2.27","2.5%","-2.80","","","17.1%","5.85","14.3%","2.06","7.6%","-3.39","1.0%","-13.46","","","8.2%","-4.45","","","","","7859"
"James McCann","White Sox","56","243","3",".347",".411",".531",".941","0",".403","159",".184","21.4%","42.1%","26.3%","31.6%","25.0%","7.9%","89.9","35.0%","0.56","","","8.2%","2.22","1.2%","3.21","","","17.7%","-1.90","20.2%","-4.22","6.6%","22.47","2.5%","-6.00","","","8.6%","-0.36","","","","","12859"
"Nick Heath","Royals","7","37","0",".333",".429",".500",".929","2",".403","155",".167","42.9%","0.0%","100.0%","0.0%","0.0%","0.0%","89.2","27.0%","1.87","","","13.5%","-0.07","","","","","21.6%","-5.21","5.4%","-5.64","10.8%","-1.51","8.1%","-8.81","","","13.5%","13.49","","","","","19577"
"Ronald Acuna Jr.","Braves","89","381","5",".270",".393",".554",".947","2",".402","153",".284","30.3%","34.0%","29.8%","36.2%","29.4%","10.6%","89.8","35.2%","-1.50","","","9.5%","-1.44","2.9%","-7.74","","","20.5%","2.78","17.1%","1.76","5.5%","-1.07","2.1%","-6.65","","","7.4%","2.38","","","","","18401"
"Jedd Gyorko","Brewers","43","194","5",".237",".326",".658",".983","0",".402","153",".421","32.6%","45.8%","12.5%","41.7%","50.0%","20.8%","90.9","22.7%","4.90","","","5.2%","-6.15","0.5%","-24.19","","","10.8%","6.20","16.5%","-3.60","15.0%","-3.39","6.2%","-1.88","","","23.2%","-4.49","","","","","10816"
"Randal Grichuk","Blue Jays","112","429","9",".311",".348",".613",".961","0",".401","156",".302","22.3%","39.5%","27.2%","33.3%","33.3%","16.1%","89.6","25.9%","-0.33","","","9.3%","2.62","1.2%","31.55","","","14.5%","-1.06","18.0%","1.62","13.1%","-3.93","3.5%","-6.34","","","14.7%","2.76","","","","","10243"
"Mookie Betts","Dodgers","140","525","11",".286",".357",".603",".960","5",".401","158",".317","17.9%","36.6%","18.8%","44.6%","24.4%","10.9%","90.6","35.8%","-0.17","","","10.3%","8.50","4.4%","-2.66","","","12.4%","-2.33","15.2%","-0.06","9.3%","-1.43","0.4%","1.86","","","12.0%","1.21","","","","","13611"
"Corey Seager","Dodgers","117","380","8",".312",".359",".596",".955","0",".401","157",".284","12.8%","38.3%","24.5%","37.2%","22.9%","19.2%","94.0","32.6%","2.83","","","8.7%","-1.24","5.0%","-1.16","","","10.8%","0.12","19.0%","-0.92","10.5%","-1.65","1.8%","5.04","","","11.6%","1.23","","","","","13624"
