Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Joe Musgrove (15454675),Joe Musgrove,15454675,P,6400,CHC@PIT 09/21/2020 07:05PM ET,PIT,14.47
SP,Kyle Freeland (15454671),Kyle Freeland,15454671,P,6400,COL@SF 09/21/2020 09:45PM ET,COL,11.93
SP,Jeff Samardzija (15454673),Jeff Samardzija,15454673,P,6400,COL@SF 09/21/2020 09:45PM ET,SF,-1.22
SP,Nick Margevicius (15454674),Nick Margevicius,15454674,P,6400,HOU@SEA 09/21/2020 09:10PM ET,SEA,8.66
SP,Steven Matz (15454672),Steven Matz,15454672,P,6400,TB@NYM 09/21/2020 07:10PM ET,NYM,4.83
SP,Lucas Sims (15454683),Lucas Sims,15454683,P,6300,MIL@CIN 09/21/2020 06:40PM ET,CIN,5.31
SP,Chris Stratton (15454681),Chris Stratton,15454681,P,6300,CHC@PIT 09/21/2020 07:05PM ET,PIT,4.18
SP,Jon Gray (15454677),Jon Gray,15454677,P,6300,COL@SF 09/21/2020 09:45PM ET,COL,5.87
SP,Ryan Castellani (15454678),Ryan Castellani,15454678,P,6300,COL@SF 09/21/2020 09:45PM ET,COL,6.24
SP,Tyler Beede (15454679),Tyler Beede,15454679,P,6300,COL@SF 09/21/2020 09:45PM ET,SF,0
SP,Kyle Wright (15454682),Kyle Wright,15454682,P,6300,MIA@ATL 09/21/2020 07:10PM ET,ATL,8.3
SP,Ljay Newsome (15454680),Ljay Newsome,15454680,P,6300,HOU@SEA 09/21/2020 09:10PM ET,SEA,3.82
SP,Brady Singer (15454685),Brady Singer,15454685,P,6200,STL@KC 09/21/2020 08:05PM ET,KC,14.92
SP,Josh Tomlin (15454013),Josh Tomlin,15454013,P,6200,MIA@ATL 09/21/2020 07:10PM ET,ATL,6.08
SP,Jose Urena (15454686),Jose Urena,15454686,P,6200,MIA@ATL 09/21/2020 07:10PM ET,MIA,6.25
SP,Nick Neidert (15454687),Nick Neidert,15454687,P,6200,MIA@ATL 09/21/2020 07:10PM ET,MIA,1.42
RP,Luis Garcia (15454684),Luis Garcia,15454684,P,6200,HOU@SEA 09/21/2020 09:10PM ET,HOU,9.33
RP,Ray Black (15454691),Ray Black,15454691,P,6000,MIL@CIN 09/21/2020 06:40PM ET,MIL,0.45
SP,Carlos Hernandez (15454014),Carlos Hernandez,15454014,P,6000,STL@KC 09/21/2020 08:05PM ET,KC,6.13
SP,Sean Newcomb (15454689),Sean Newcomb,15454689,P,6000,MIA@ATL 09/21/2020 07:10PM ET,ATL,-0.16
SP,Jorge Guzman (15454690),Jorge Guzman,15454690,P,6000,MIA@ATL 09/21/2020 07:10PM ET,MIA,-4.15
SP,Patrick Murphy (15454688),Patrick Murphy,15454688,P,6000,NYY@TOR 09/21/2020 06:37PM ET,TOR,7.8
RP,Steven Brault (15454695),Steven Brault,15454695,P,5900,CHC@PIT 09/21/2020 07:05PM ET,PIT,8.88
OF,Ronald Acuna Jr. (15454015),Ronald Acuna Jr.,15454015,OF,5900,MIA@ATL 09/21/2020 07:10PM ET,ATL,11.3
SP,Sam Gaviglio (15454693),Sam Gaviglio,15454693,P,5900,NYY@TOR 09/21/2020 06:37PM ET,TOR,-0.51
