Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2020,"Sandy Leon","CLE",14,42,33,4,2,1,0,1,3,1,9,0,8,0,0,0,2,0,0,0.121212121,5273
2020,"Francisco Cervelli","MIA",15,43,34,9,6,1,0,2,8,6,8,0,7,1,0,0,2,1,0,0.264705882,5275
2020,"Aaron Hicks","NYY",21,69,55,12,5,4,1,2,9,5,14,1,12,0,0,0,1,0,0,0.218181818,5297
2020,"Brandon Crawford","SFG",25,73,66,17,12,3,0,2,11,8,5,0,16,2,0,0,2,0,2,0.257575757,5343
2020,"Freddie Freeman","ATL",26,86,69,22,10,7,1,4,16,14,17,2,12,0,0,0,0,0,0,0.318840579,5361
2020,"Pablo Sandoval","SFG",22,55,51,10,8,1,0,1,3,5,3,0,10,0,1,0,3,0,0,0.196078431,5409
2020,"Jose Altuve","HOU",30,100,93,21,14,5,0,2,14,9,6,0,15,1,0,0,4,2,1,0.225806451,5417
2020,"Ji-Man Choi","TBR",28,81,67,14,5,8,0,1,8,7,11,2,19,0,3,0,1,0,0,0.208955223,5452
2020,"Austin Romine","DET",20,58,57,15,11,3,0,1,8,8,1,0,20,0,0,0,1,0,0,0.263157894,5491
2020,"Marwin Gonzalez","MIN",27,73,63,13,10,0,0,3,5,7,8,0,15,1,1,0,0,0,0,0.206349206,5497
2020,"Matt Kemp","COL",19,41,36,7,5,0,0,2,6,6,5,0,12,0,0,0,3,0,0,0.194444444,5631
2020,"Avisail Garcia","MIL",25,76,70,14,11,2,0,1,8,4,3,0,20,3,0,0,2,0,1,0.2,5760
2020,"Wilmer Flores","SFG",26,73,70,20,16,2,0,2,8,6,2,0,6,1,0,0,2,0,0,0.285714285,5827
2020,"Leury Garcia","CHW",16,55,51,12,9,1,0,2,5,4,4,0,9,0,0,0,0,0,0,0.235294117,5913
2020,"Nick Markakis","ATL",12,33,29,9,3,5,0,1,6,4,3,0,6,1,0,0,0,0,1,0.310344827,5930
2020,"Jean Segura","PHI",20,59,53,11,9,0,1,1,8,3,6,0,11,0,0,0,1,0,0,0.207547169,5933
2020,"Didi Gregorius","PHI",24,68,61,21,15,4,0,2,9,9,6,1,4,1,0,0,1,1,0,0.344262295,6012
2020,"Eduardo Escobar","ARI",28,97,86,17,12,2,1,2,13,12,8,2,22,2,1,0,3,1,0,0.197674418,6153
2020,"J.D. Martinez","BOS",27,80,70,13,6,6,0,1,6,9,9,0,19,0,1,0,2,0,0,0.185714285,6184
2020,"Freddy Galvis","CIN",23,66,57,13,7,2,0,4,8,8,7,0,10,2,0,0,2,0,1,0.228070175,6609
2020,"Martin Maldonado","HOU",24,56,46,7,6,0,0,1,8,5,10,0,21,0,0,0,1,0,0,0.152173913,6887
2020,"Yadier Molina","STL",11,36,35,10,9,1,0,0,2,6,0,0,5,1,0,0,3,0,0,0.285714285,7007
2020,"Logan Forsythe","MIA",11,23,20,1,1,0,0,0,0,1,3,0,6,0,0,0,0,0,0,0.05,7185
2020,"Salvador Perez","KCR",22,78,74,25,15,6,0,4,9,10,2,0,13,1,1,0,0,0,0,0.337837837,7304
2020,"Alex Avila","MIN",14,36,27,4,2,1,0,1,5,1,9,0,15,0,0,0,1,0,0,0.148148148,7476
2020,"Travis d'Arnaud","ATL",17,53,50,20,11,5,0,4,6,15,3,0,12,0,0,0,1,1,0,0.4,7739
2020,"Miguel Rojas","MIA",8,27,22,8,6,1,0,1,5,7,4,0,4,1,0,0,0,1,0,0.363636363,7802
2020,"Charlie Blackmon","COL",27,81,74,22,15,4,1,2,14,15,6,2,15,0,1,0,0,0,0,0.297297297,7859
