first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
JaCoby,Jones,OF,,2020-09-01,Express,DET,MIL,,,+1.5,9.5,4,2700,0.0,8.7,15.2,8.7,3.24
Ryan,Mountcastle,1B,,2020-09-01,Express,BAL,NYM,,,+1.5,10,4.6,3000,0.0,8.9,25.9,8.7,2.88
Isaac,Paredes,3B,,2020-09-01,Express,DET,MIL,,,+1.5,9.5,4,2500,0.0,6.0,15.2,8.4,3.37
Rio,Ruiz,3B,,2020-09-01,Express,BAL,NYM,,,+1.5,10,4.6,2700,0.0,3.7,9.2,8.4,3.10
Michael,Chavis,2B,,2020-09-01,Express,BOS,ATL,,,+1.5,10,4.4,2400,0.0,3.2,10.0,8.4,3.48
Bobby,Dalbec,3B,,2020-09-01,Express,BOS,ATL,,,+1.5,10,4.4,2300,0.0,8.1,16.2,8.4,3.64
Hanser,Alberto,2B,,2020-09-01,Express,BAL,NYM,,,+1.5,10,4.6,2900,3.0,8.1,18.7,8.3,2.86
Cedric,Mullins,OF,,2020-09-01,Express,BAL,NYM,,,+1.5,10,4.6,2000,0.0,4.8,18.2,8.3,4.13
Christin,Stewart,OF,,2020-09-01,Express,DET,MIL,,,+1.5,9.5,4,2100,0.0,5.8,16.0,8.2,3.90
Jedd,Gyorko,3B,,2020-09-01,Express,MIL,DET,,,-1.5,9.5,5.5,2400,0.0,7.5,19.4,8.2,3.40
Jackie,Bradley Jr.,OF,,2020-09-01,Express,BOS,ATL,,,+1.5,10,4.4,2300,3.0,4.9,12.0,8.0,3.49
Willi,Castro,3B,,2020-09-01,Express,DET,MIL,,,+1.5,9.5,4,2400,6.2,9.4,12.4,7.8,3.24
Austin,Romine,C,DTD,2020-09-01,Express,DET,MIL,,,+1.5,9.5,4,2300,0.0,7.6,25.2,7.6,3.28
J.D.,Davis,OF,DTD,2020-09-01,Express,NYM,BAL,,,-1.5,10,5.4,2800,3.0,6.1,12.0,7.5,2.69
Pedro,Severino,C,,2020-09-01,Express,BAL,NYM,,,+1.5,10,4.6,2800,0.0,5.6,12.7,7.1,2.54
Harold,Castro,2B,,2020-09-01,Express,DET,MIL,,,+1.5,9.5,4,2000,6.2,11.0,24.4,6.9,3.46
Ben,Gamel,OF,,2020-09-01,Express,MIL,DET,,,-1.5,9.5,5.5,2200,3.0,11.0,27.9,6.8,3.11
José,Peraza,2B,,2020-09-01,Express,BOS,ATL,,,+1.5,10,4.4,2200,0.0,6.7,12.2,6.8,3.08
Luis,Guillorme,2B,,2020-09-01,Express,NYM,BAL,,,-1.5,10,5.4,2400,0.0,10.6,21.5,6.3,2.63
Jorge,Bonifacio,OF,,2020-09-01,Express,DET,MIL,,,+1.5,9.5,4,2000,0.0,6.5,13.2,6.2,3.08
