Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2020,"Nick Senzel","CIN",8,32,28,7,3,2,0,2,5,6,4,0,4,0,0,0,0,2,1,0.25,19293
2020,"Nick Solak","TEX",18,71,63,20,16,4,0,0,7,10,7,0,6,1,0,0,1,3,1,0.317460317,19294
2020,"Bryan Reynolds","PIT",17,68,62,16,9,4,1,2,13,9,6,0,18,0,0,0,0,1,0,0.258064516,19326
2020,"Nicky Lopez","KCR",19,65,62,16,11,4,0,1,5,8,1,0,16,1,0,1,0,0,2,0.258064516,19339
2020,"Sean Murphy","OAK",14,43,39,8,6,1,0,1,1,3,4,0,14,0,0,0,2,0,0,0.205128205,19352
2020,"Austin Hays","BAL",8,31,28,4,4,0,0,0,3,0,3,0,8,0,0,0,0,2,1,0.142857142,19363
2020,"Tommy Edman","STL",16,64,58,16,13,2,1,0,4,8,3,0,12,3,0,0,0,1,2,0.275862068,19470
2020,"Kyle Lewis","SEA",16,66,57,18,13,2,0,3,14,6,9,0,14,0,0,0,0,1,0,0.315789473,19508
2020,"Vladimir Guerrero Jr.","TOR",16,65,59,16,10,3,0,3,10,11,5,0,10,1,0,0,3,0,0,0.27118644,19611
2020,"Bo Bichette","TOR",5,23,21,11,6,2,0,3,7,7,2,1,4,0,0,0,0,2,0,0.523809523,19612
2020,"Mike Brosseau","TBR",9,23,22,4,1,2,0,1,2,3,1,0,8,0,0,0,0,0,0,0.181818181,19683
2020,"Edward Olivares","2 Tms",6,22,21,7,4,2,0,1,4,4,1,0,6,0,0,0,0,0,1,0.333333333,19698
2020,"Fernando Tatis Jr.","SDP",18,77,67,23,11,3,1,8,18,14,9,1,19,1,0,0,1,2,0,0.343283582,19709
2020,"Shohei Ohtani","LAA",19,82,71,15,8,4,0,3,11,14,11,0,19,0,0,0,2,5,0,0.211267605,19755
2020,"Abraham Toro","HOU",13,35,31,5,3,1,0,1,7,1,2,0,8,2,0,0,0,1,0,0.161290322,19844
2020,"Luis Rengifo","LAA",14,48,42,7,6,1,0,0,3,0,5,0,13,0,0,1,1,1,0,0.166666666,19858
2020,"Adam Haseley","PHI",8,23,21,6,3,3,0,0,3,1,1,0,5,0,0,1,1,0,0,0.285714285,19878
2020,"Daulton Varsho","ARI",9,23,19,3,2,1,0,0,1,0,3,0,6,1,0,0,1,1,0,0.157894736,19918
2020,"Andres Gimenez","NYM",14,43,39,13,10,1,2,0,8,4,2,0,7,1,1,0,0,5,0,0.333333333,19950
2020,"Carter Kieboom","WSN",8,29,23,2,2,0,0,0,2,2,5,0,10,1,0,0,3,0,0,0.086956521,19958
2020,"Bobby Dalbec","BOS",5,20,19,4,2,0,0,2,3,3,1,0,11,0,0,0,0,0,0,0.210526315,19966
2020,"Keston Hiura","MIL",18,76,67,14,8,2,0,4,10,8,5,1,30,4,0,0,2,2,0,0.208955223,20003
2020,"Luis Robert","CHW",18,69,63,19,9,4,0,6,11,11,4,0,20,0,1,0,4,0,2,0.301587301,20043
2020,"Evan White","SEA",14,51,46,7,2,4,0,1,2,11,4,0,21,0,1,0,1,0,0,0.152173913,20078
2020,"Juan Soto","WSN",10,40,34,11,5,4,0,2,3,4,6,0,8,0,0,0,0,0,0,0.323529411,20123
2020,"Dylan Carlson","STL",14,47,43,8,5,2,0,1,5,5,4,0,17,0,0,0,2,0,1,0.186046511,20126
2020,"Jo Adell","LAA",14,50,46,9,6,0,0,3,4,6,4,0,20,0,0,0,3,0,1,0.195652173,20220
2020,"Jonathan Arauz","BOS",8,26,24,8,7,1,0,0,3,4,2,0,5,0,0,0,0,0,0,0.333333333,20275
2020,"Luis Garcia","WSN",6,22,22,7,6,1,0,0,3,1,0,0,2,0,0,0,2,1,1,0.318181818,20391
2020,"Nico Hoerner","CHC",17,45,37,7,5,2,0,0,6,2,7,0,8,1,0,0,0,0,1,0.189189189,21479
2020,"Joey Bart","SFG",9,34,30,8,4,3,1,0,5,2,2,0,12,2,0,0,1,0,0,0.266666666,21524
2020,"Alec Bohm","PHI",10,39,36,11,6,4,0,1,5,6,1,0,6,0,2,0,2,0,0,0.305555555,21618
2020,"Jose Garcia","CIN",6,22,22,3,3,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0.136363636,23378
2020,"Yoshi Tsutsugo","TBR",17,63,47,8,5,0,0,3,11,8,15,0,15,1,0,0,1,0,0,0.170212765,27459
2020,"Shogo Akiyama","CIN",19,65,56,12,9,3,0,0,5,2,7,0,9,1,0,0,1,3,0,0.214285714,27461
