Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2B,Ryan McMahon (15414702),Ryan McMahon,15414702,2B,3900,OAK@COL 09/16/2020 03:10PM ET,COL,6.46
C,Jonah Heim (15414704),Jonah Heim,15414704,C,3900,OAK@COL 09/16/2020 03:10PM ET,OAK,5
OF,Matt Kemp (15414705),Matt Kemp,15414705,OF,3900,OAK@COL 09/16/2020 03:10PM ET,COL,5.95
1B,Jedd Gyorko (15414699),Jedd Gyorko,15414699,1B,3900,STL@MIL 09/16/2020 05:10PM ET,MIL,6.8
2B,Kolten Wong (15414700),Kolten Wong,15414700,2B,3900,STL@MIL 09/16/2020 05:10PM ET,STL,6
SS,Paul DeJong (15414701),Paul DeJong,15414701,SS,3900,STL@MIL 09/16/2020 05:10PM ET,STL,7.55
3B,Matt Carpenter (15414703),Matt Carpenter,15414703,3B,3900,STL@MIL 09/16/2020 05:10PM ET,STL,5.82
2B/OF,Garrett Hampson (15414706),Garrett Hampson,15414706,2B/OF,3800,OAK@COL 09/16/2020 03:10PM ET,COL,6.4
C,Austin Allen (15414766),Austin Allen,15414766,C,3800,OAK@COL 09/16/2020 03:10PM ET,OAK,2.64
OF/SS,Chris Taylor (15414708),Chris Taylor,15414708,SS/OF,3800,LAD@SD 09/16/2020 04:10PM ET,LAD,7.46
OF,Raimel Tapia (15414712),Raimel Tapia,15414712,OF,3700,OAK@COL 09/16/2020 03:10PM ET,COL,6.66
OF,Wil Myers (15414710),Wil Myers,15414710,OF,3700,LAD@SD 09/16/2020 04:10PM ET,SD,9.65
C,Will Smith (15414711),Will Smith,15414711,C,3700,LAD@SD 09/16/2020 04:10PM ET,LAD,7.93
1B/OF,Austin Dean (15414767),Austin Dean,15414767,1B/OF,3700,STL@MIL 09/16/2020 05:10PM ET,STL,4.33
OF,Stephen Piscotty (15414713),Stephen Piscotty,15414713,OF,3600,OAK@COL 09/16/2020 03:10PM ET,OAK,7.16
C,Sean Murphy (15414715),Sean Murphy,15414715,C,3600,OAK@COL 09/16/2020 03:10PM ET,OAK,6.03
OF,Ryan Braun (15414714),Ryan Braun,15414714,OF,3600,STL@MIL 09/16/2020 05:10PM ET,MIL,6.79
1B/OF,Rangel Ravelo (15414716),Rangel Ravelo,15414716,1B/OF,3500,STL@MIL 09/16/2020 05:10PM ET,STL,5.75
OF,Lorenzo Cain (15414769),Lorenzo Cain,15414769,OF,3500,STL@MIL 09/16/2020 05:10PM ET,MIL,7.6
C,Manny Pina (15414770),Manny Pina,15414770,C,3500,STL@MIL 09/16/2020 05:10PM ET,MIL,4.87
