last_name, first_name,year,xwoba,xiso,
Mountcastle, Ryan,2020,.347,.181,
Phegley, Josh,2020,.255,.204,
Arauz, Jonathan,2020,.352,.097,
Kingery, Scott,2020,.283,.137,
Sano, Miguel,2020,.367,.313,
Schoop, Jonathan,2020,.338,.180,
d'Arnaud, Travis,2020,.364,.222,
Butera, Drew,2020,.186,.054,
Cabrera, Asdrubal,2020,.344,.185,
Davis, Chris,2020,.193,.071,
Castellanos, Nick,2020,.414,.307,
Kemp, Matt,2020,.347,.243,
O'Neill, Tyler,2020,.292,.174,
Grandal, Yasmani,2020,.326,.179,
Higashioka, Kyle,2020,.229,.033,
Straw, Myles,2020,.280,.112,
Kiner-Falefa, Isiah,2020,.315,.095,
Torrens, Luis,2020,.336,.087,
Kelly, Carson,2020,.238,.090,
Engel, Adam,2020,.286,.111,
Plawecki, Kevin,2020,.301,.112,
Segura, Jean,2020,.361,.182,
Dahl, David,2020,.253,.108,
Hampson, Garrett,2020,.364,.238,
Moncada, Yoan,2020,.318,.185,
Devers, Rafael,2020,.337,.192,
Mayfield, Jack,2020,.231,.080,
Hoerner, Nico,2020,.322,.095,
Votto, Joey,2020,.359,.191,
Gurriel, Yuli,2020,.337,.159,
Marte, Ketel,2020,.332,.138,
Molina, Yadier,2020,.353,.174,
Ervin, Phillip,2020,.214,.033,
Adames, Willy,2020,.344,.188,
Yelich, Christian,2020,.390,.260,
Stallings, Jacob,2020,.299,.106,
Sisco, Chance,2020,.343,.229,
Taylor, Michael A.,2020,.360,.286,
Verdugo, Alex,2020,.336,.174,
Smith, Kevan,2020,.518,.284,
Davis, Khris,2020,.322,.176,
Hechavarria, Adeiny,2020,.235,.042,
Heineman, Tyler,2020,.256,.072,
Arcia, Orlando,2020,.354,.133,
VanMeter, Josh,2020,.247,.135,
Taylor, Beau,2020,.171,.030,
Lewis, Kyle,2020,.370,.221,
Mathias, Mark,2020,.304,.134,
Pence, Hunter,2020,.329,.211,
Slater, Austin,2020,.443,.258,
Goins, Ryan,2020,.314,.285,
Davidson, Matt,2020,.383,.318,
Moreland, Mitch,2020,.402,.332,
Gallo, Joey,2020,.344,.239,
Kratz, Erik,2020,.260,.076,
Vogt, Stephen,2020,.238,.145,
Haggerty, Sam,2020,.329,.152,
Vazquez, Christian,2020,.258,.132,
Cain, Lorenzo,2020,.449,.159,
Soto, Juan,2020,.489,.424,
McMahon, Ryan,2020,.299,.175,
Anderson, Tim,2020,.357,.215,
Contreras, William,2020,.358,.196,
DeShields, Delino,2020,.270,.053,
Calhoun, Kole,2020,.387,.270,
Demeritte, Travis,2020,.380,.238,
Rosario, Eddie,2020,.305,.182,
Wong, Kolten,2020,.315,.084,
Paredes, Isaac,2020,.248,.065,
Sanchez, Ali,2020,.111,.008,
Harrison, Josh,2020,.415,.272,
Torres, Gleyber,2020,.307,.098,
Hilliard, Sam,2020,.317,.195,
Hernandez, Teoscar,2020,.422,.346,
Inciarte, Ender,2020,.268,.058,
Dozier, Hunter,2020,.361,.171,
Williams, Mason,2020,.244,.086,
Knizner, Andrew,2020,.338,.062,
Freeman, Mike,2020,.261,.071,
Smith, Dominic,2020,.391,.322,
Lamb, Jake,2020,.325,.165,
Tromp, Chadwick,2020,.220,.121,
Young, Andy,2020,.433,.219,
Diaz, Yandy,2020,.340,.090,
Wendle, Joey,2020,.321,.155,
Caratini, Victor,2020,.269,.086,
Rengifo, Luis,2020,.277,.087,
Rojas, Miguel,2020,.352,.129,
Grisham, Trent,2020,.373,.264,
Kemp, Tony,2020,.337,.102,
Lindor, Francisco,2020,.348,.187,
Aquino, Aristides,2020,.320,.057,
Beaty, Matt,2020,.324,.131,
Tsutsugo, Yoshi,2020,.332,.196,
Bell, Josh,2020,.299,.166,
Arraez, Luis,2020,.355,.145,
Maybin, Cameron,2020,.350,.218,
Garcia, Jose,2020,.153,.043,
Barreto, Franklin,2020,.029,.002,
McBroom, Ryan,2020,.336,.273,
Knapp, Andrew,2020,.345,.110,
Gyorko, Jedd,2020,.357,.276,
Rizzo, Anthony,2020,.378,.172,
Fuentes, Josh,2020,.276,.044,
Stewart, DJ,2020,.245,.018,
Jay, Jon,2020,.318,.215,
Ruiz, Rio,2020,.276,.144,
Sanchez, Jesus,2020,.239,.097,
Polanco, Gregory,2020,.313,.214,
Payton, Mark,2020,.197,.101,
Joyce, Matt,2020,.326,.117,
McCutchen, Andrew,2020,.367,.231,
Mercado, Oscar,2020,.197,.042,
Cordero, Franchy,2020,.440,.214,
Machin, Vimael,2020,.304,.094,
Franco, Maikel,2020,.323,.168,
Jimenez, Eloy,2020,.394,.305,
Taveras, Leody,2020,.309,.155,
DeJong, Paul,2020,.329,.205,
Espinal, Santiago,2020,.280,.145,
Rodgers, Brendan,2020,.162,.018,
McCarthy, Joe,2020,.044,.013,
Odor, Rougned,2020,.247,.170,
McGuire, Reese,2020,.143,.050,
Frazier, Todd,2020,.311,.173,
Tauchman, Mike,2020,.311,.090,
Pujols, Albert,2020,.292,.134,
Refsnyder, Rob,2020,.261,.106,
Bruce, Jay,2020,.363,.326,
Braun, Ryan,2020,.334,.179,
Cruz, Nelson,2020,.423,.343,
Reynolds, Bryan,2020,.307,.178,
O'Hearn, Ryan,2020,.310,.182,
Simmons, Andrelton,2020,.272,.048,
White, Evan,2020,.295,.213,
Arenado, Nolan,2020,.305,.194,
Perez, Salvador,2020,.431,.289,
Cespedes, Yoenis,2020,.314,.213,
Hoskins, Rhys,2020,.401,.280,
Panik, Joe,2020,.316,.118,
Owings, Chris,2020,.262,.108,
Long Jr., Shed,2020,.265,.146,
Urshela, Gio,2020,.387,.250,
Heineman, Scott,2020,.263,.145,
Marte, Starling,2020,.365,.193,
Adell, Jo,2020,.211,.096,
Guzman, Ronald,2020,.424,.229,
Walsh, Jared,2020,.160,.051,
Perez, Michael,2020,.305,.196,
Solano, Donovan,2020,.336,.175,
Bichette, Bo,2020,.452,.372,
Galvis, Freddy,2020,.308,.175,
Stewart, Christin,2020,.307,.222,
Walker, Christian,2020,.377,.241,
Dubon, Mauricio,2020,.288,.103,
Sanchez, Gary,2020,.284,.213,
Riley, Austin,2020,.349,.255,
Avila, Alex,2020,.336,.146,
Bradley Jr., Jackie,2020,.276,.110,
Hicks, Aaron,2020,.360,.160,
Kiermaier, Kevin,2020,.360,.170,
Peterson, Jace,2020,.424,.256,
Laureano, Ramon,2020,.362,.189,
Madrigal, Nick,2020,.328,.044,
Andujar, Miguel,2020,.276,.151,
Dickerson, Alex,2020,.374,.275,
Robles, Victor,2020,.304,.112,
Camargo, Johan,2020,.262,.146,
Seager, Corey,2020,.486,.401,
Choo, Shin-Soo,2020,.337,.210,
Nola, Austin,2020,.383,.202,
Turner, Trea,2020,.393,.220,
Bohm, Alec,2020,.398,.268,
Pederson, Joc,2020,.357,.223,
Cronenworth, Jake,2020,.477,.312,
Jansen, Danny,2020,.334,.158,
Seager, Kyle,2020,.364,.205,
Buxton, Byron,2020,.295,.238,
Solak, Nick,2020,.356,.162,
Phillips, Brett,2020,.309,.106,
Wade, Tyler,2020,.335,.119,
Markakis, Nick,2020,.355,.128,
Canha, Mark,2020,.365,.212,
Varsho, Daulton,2020,.204,.062,
Rendon, Anthony,2020,.386,.188,
Alberto, Hanser,2020,.282,.093,
Diaz, Elias,2020,.312,.065,
Gosselin, Phil,2020,.342,.180,
Allen, Greg,2020,.292,.130,
Thomas, Lane,2020,.217,.073,
Sogard, Eric,2020,.302,.057,
Swanson, Dansby,2020,.339,.185,
Tejeda, Anderson,2020,.296,.300,
Severino, Pedro,2020,.359,.197,
Smith, Will,2020,.455,.322,
Gamel, Ben,2020,.338,.160,
Estrada, Thairo,2020,.266,.119,
Chapman, Matt,2020,.379,.339,
Riddle, JT,2020,.281,.145,
Ford, Mike,2020,.333,.181,
Vogelbach, Daniel,2020,.265,.118,
Sierra, Magneuris,2020,.327,.067,
Blackmon, Charlie,2020,.371,.188,
Davis, Jaylin,2020,.302,.265,
Newman, Kevin,2020,.327,.109,
Naylor, Josh,2020,.329,.142,
Chirinos, Robinson,2020,.256,.088,
Adams, Matt,2020,.261,.175,
Edman, Tommy,2020,.333,.115,
Grichuk, Randal,2020,.360,.258,
Lowe, Brandon,2020,.409,.359,
Margot, Manuel,2020,.341,.158,
Lopes, Tim,2020,.296,.118,
Valaika, Pat,2020,.385,.243,
Brinson, Lewis,2020,.268,.092,
Heyward, Jason,2020,.417,.218,
Marmolejos, Jose,2020,.373,.316,
Hays, Austin,2020,.280,.111,
Bart, Joey,2020,.332,.142,
Machado, Manny,2020,.412,.278,
Garcia, Leury,2020,.321,.194,
Reyes, Victor,2020,.365,.190,
Guerrero Jr., Vladimir,2020,.352,.183,
Goldschmidt, Paul,2020,.429,.258,
Mendick, Danny,2020,.271,.108,
Grossman, Robbie,2020,.386,.192,
Gregorius, Didi,2020,.315,.137,
Albies, Ozzie,2020,.269,.142,
Martinez, Jose,2020,.312,.154,
Garcia, Luis,2020,.311,.121,
Kepler, Max,2020,.359,.200,
Betts, Mookie,2020,.397,.251,
Maldonado, Martin,2020,.340,.152,
Candelario, Jeimer,2020,.354,.192,
Profar, Jurickson,2020,.347,.156,
Goodwin, Brian,2020,.295,.184,
Alfaro, Jorge,2020,.218,.093,
Stanton, Giancarlo,2020,.475,.296,
Jones, Taylor,2020,.282,.222,
Ozuna, Marcell,2020,.420,.322,
Rios, Edwin,2020,.400,.318,
Forsythe, Logan,2020,.315,.258,
Garcia, Avisail,2020,.333,.167,
Pinder, Chad,2020,.355,.230,
Choi, Ji-Man,2020,.289,.142,
Garver, Mitch,2020,.254,.090,
Stassi, Max,2020,.386,.328,
Akiyama, Shogo,2020,.307,.100,
Biggio, Cavan,2020,.322,.142,
Bregman, Alex,2020,.362,.163,
Abreu, Jose,2020,.392,.287,
McCann, James,2020,.385,.197,
Mejia, Francisco,2020,.195,.072,
Thames, Eric,2020,.312,.140,
Santana, Danny,2020,.286,.173,
Contreras, Willson,2020,.360,.237,
Mondesi, Adalberto,2020,.223,.092,
Cron, Kevin,2020,.207,.063,
Winker, Jesse,2020,.432,.314,
Quinn, Roman,2020,.284,.112,
Flores, Wilmer,2020,.349,.206,
Lavarnway, Ryan,2020,.301,.041,
Andrus, Elvis,2020,.326,.170,
Lugo, Dawel,2020,.274,.078,
Vargas, Ildemaro,2020,.247,.055,
Ward, Taylor,2020,.291,.158,
Hosmer, Eric,2020,.429,.315,
Kipnis, Jason,2020,.337,.187,
Perez, Roberto,2020,.321,.162,
Cabrera, Miguel,2020,.370,.183,
Renfroe, Hunter,2020,.300,.221,
Velazquez, Andrew,2020,.243,.113,
Bellinger, Cody,2020,.363,.221,
Bote, David,2020,.387,.252,
Tucker, Kyle,2020,.358,.242,
Longoria, Evan,2020,.411,.286,
Delmonico, Nicky,2020,.221,.051,
Voit, Luke,2020,.435,.371,
Holaday, Bryan,2020,.316,.080,
Greiner, Grayson,2020,.281,.210,
Hudson, Joe,2020,.188,.030,
Allen, Austin,2020,.171,.063,
Osuna, Jose,2020,.295,.173,
Mazara, Nomar,2020,.305,.149,
Zunino, Mike,2020,.253,.233,
Bemboom, Anthony,2020,.263,.081,
Tatis Jr., Fernando,2020,.447,.356,
Suarez, Eugenio,2020,.334,.237,
Dietrich, Derek,2020,.390,.243,
Viloria, Meibrys,2020,.208,.077,
Meadows, Austin,2020,.308,.200,
Pillar, Kevin,2020,.319,.167,
Urias, Luis,2020,.296,.096,
Leon, Sandy,2020,.308,.113,
Smith, Dwight,2020,.280,.134,
Correa, Carlos,2020,.339,.157,
Luplow, Jordan,2020,.253,.083,
Reddick, Josh,2020,.359,.153,
Gonzalez, Erik,2020,.357,.235,
Guillorme, Luis,2020,.338,.078,
Locastro, Tim,2020,.311,.096,
Drury, Brandon,2020,.286,.129,
Bryant, Kris,2020,.302,.162,
Springer, George,2020,.372,.213,
Miller, Brad,2020,.487,.339,
Trout, Mike,2020,.424,.344,
Barnes, Austin,2020,.254,.101,
Gordon, Dee,2020,.236,.036,
Brosseau, Mike,2020,.371,.324,
Pina, Manny,2020,.380,.212,
Starling, Bubba,2020,.291,.095,
Bogaerts, Xander,2020,.361,.251,
Tapia, Raimel,2020,.339,.109,
Naquin, Tyler,2020,.379,.270,
Suzuki, Kurt,2020,.291,.088,
Cano, Robinson,2020,.410,.229,
Martinez, J.D.,2020,.340,.244,
Duggar, Steven,2020,.199,.068,
Narvaez, Omar,2020,.291,.158,
Olson, Matt,2020,.370,.274,
Kieboom, Carter,2020,.268,.042,
Goodrum, Niko,2020,.273,.192,
Turner, Justin,2020,.423,.289,
Frazier, Clint,2020,.399,.288,
Gimenez, Andres,2020,.283,.104,
Conforto, Michael,2020,.397,.233,
Arozarena, Randy,2020,.372,.186,
Altuve, Jose,2020,.288,.126,
Chavis, Michael,2020,.270,.127,
Crawford, Brandon,2020,.337,.164,
Mullins, Cedric,2020,.227,.059,
Hermosillo, Michael,2020,.179,.020,
Happ, Ian,2020,.407,.265,
Johnson, Daniel,2020,.187,.150,
Jones, JaCoby,2020,.336,.196,
Tellez, Rowdy,2020,.382,.242,
Almonte, Abraham,2020,.212,.048,
Kendrick, Howie,2020,.365,.209,
Jankowski, Travis,2020,.218,.021,
Castro, Harold,2020,.332,.139,
Dalbec, Bobby,2020,.041,.042,
Wade Jr, LaMonte,2020,.229,.074,
