"Name","Team","HR/9","HR/FB","ERA","FIP","xFIP","WHIP","Strikes","FA% (pfx)","wFA/C (pfx)","FT% (pfx)","wFT/C (pfx)","FC% (pfx)","wFC/C (pfx)","FS% (pfx)","wFS/C (pfx)","FO% (pfx)","wFO/C (pfx)","SI% (pfx)","wSI/C (pfx)","SL% (pfx)","wSL/C (pfx)","CU% (pfx)","wCU/C (pfx)","KC% (pfx)","wKC/C (pfx)","EP% (pfx)","wEP/C (pfx)","CH% (pfx)","wCH/C (pfx)","SC% (pfx)","wSC/C (pfx)","KN% (pfx)","wKN/C (pfx)","GS","Start-IP","playerid"
"Joely Rodriguez","Rangers","0.00","0.0%","2.13","1.69","2.77","1.03","152","38.4%","0.45","","","","","","","","","28.9%","1.49","2.6%","-20.74","","","","","","","30.2%","4.96","","","","","0","","11487"
"Cal Quantrill","- - -","0.86","9.1%","2.14","3.71","4.52","1.33","230","14.4%","-0.25","","","","","","","","","37.3%","2.04","38.2%","1.64","","","","","","","10.1%","-1.15","","","","","1","3.2","19312"
"Mark Melancon","Braves","0.54","7.7%","2.16","3.97","4.71","0.90","145","1.8%","-9.09","","","51.4%","-0.28","3.2%","7.32","","","","","","","","","43.6%","6.63","","","","","","","","","0","","4264"
"Tyler Duffey","Twins","1.08","25.0%","2.16","3.01","2.39","0.84","174","38.8%","3.34","","","","","","","","","2.3%","5.08","","","","","54.4%","2.36","","","","","","","","","0","","13758"
"Diego Castillo","Rays","1.62","23.1%","2.16","4.99","4.17","1.02","154","1.6%","8.36","","","","","","","","","32.5%","-0.95","65.9%","4.22","","","","","","","","","","","","","0","","17496"
"Codi Heuer","White Sox","0.54","10.0%","2.16","2.95","3.34","0.72","157","4.0%","5.10","","","","","","","","","64.5%","1.33","22.7%","6.24","","","","","","","8.8%","10.63","","","","","0","","23293"
"Yusmeiro Petit","Athletics","1.62","13.0%","2.16","4.87","5.23","1.26","164","43.7%","1.61","","","26.3%","-0.48","","","","","","","","","10.5%","-2.08","","","","","19.4%","3.33","","","","","0","","4020"
"Grant Dayton","Braves","1.31","10.3%","2.18","3.72","4.58","1.16","238","60.7%","1.05","","","","","","","","","1.4%","7.23","0.3%","-3.63","37.6%","1.38","","","","","","","","","","","0","","11203"
"Richard Bleier","- - -","0.00","0.0%","2.19","2.87","3.02","1.05","104","0.6%","7.07","","","17.7%","1.65","","","","","53.8%","0.42","22.8%","11.84","","","","","","","5.1%","-3.31","","","","","0","","7803"
"Shawn Armstrong","Orioles","0.73","10.0%","2.19","3.27","3.80","0.89","130","41.2%","3.57","","","49.3%","1.12","","","","","","","9.6%","4.24","","","","","","","","","","","","","0","","12857"
"Ryan Borucki","Blue Jays","0.00","0.0%","2.19","2.95","4.85","1.62","151","","","","","","","","","","","48.1%","2.02","37.7%","4.62","","","","","","","14.2%","-1.50","","","","","0","","16350"
"Dallas Keuchel","White Sox","0.34","6.3%","2.19","3.15","3.84","1.05","497","2.3%","1.57","","","30.3%","2.65","","","","","32.2%","1.81","6.9%","1.86","","","","","","","28.3%","3.78","","","","","9","53.1","9434"
"Greg Holland","Royals","0.37","5.6%","2.22","2.74","3.65","1.03","247","37.6%","1.26","","","","","","","","","","","51.2%","2.33","10.7%","-2.34","","","","","0.5%","2.74","","","","","0","","7196"
"Dinelson Lamet","Padres","0.86","9.1%","2.24","2.92","3.73","0.92","522","36.0%","-0.67","","","","","","","","","11.3%","2.88","52.7%","4.43","","","","","","","","","","","","","9","52.1","17186"
"Burch Smith","Athletics","0.75","6.3%","2.25","2.36","3.88","0.67","105","71.9%","4.46","","","","","","","","","","","0.7%","4.31","14.4%","3.25","","","","","13.1%","0.71","","","","","0","","12784"
"Chasen Shreve","Mets","1.35","16.7%","2.25","3.69","3.50","0.90","191","52.8%","0.09","","","","","38.0%","4.13","","","","","9.2%","2.91","","","","","","","","","","","","","0","","10855"
"Jonathan Holder","Yankees","0.56","7.1%","2.25","3.75","4.65","1.44","181","51.3%","1.92","","","9.6%","3.89","","","","","","","10.3%","1.62","4.6%","-2.60","","","","","24.2%","0.38","","","","","0","","16588"
"Andrew Kittredge","Rays","0.00","0.0%","2.25","3.19","4.41","1.25","81","2.6%","19.96","","","","","","","","","45.2%","3.23","46.1%","2.30","","","","","","","6.1%","2.48","","","","","1","0.1","12828"
"Blake Treinen","Dodgers","0.00","0.0%","2.25","3.04","3.82","1.00","201","8.9%","5.42","","","5.3%","1.23","","","","","61.5%","0.57","24.3%","5.44","","","","","","","","","","","","","0","","12572"
"Zac Gallen","Diamondbacks","0.98","13.3%","2.29","3.46","3.64","0.98","532","36.4%","3.35","","","27.5%","0.20","","","","","0.2%","-6.18","","","","","17.7%","5.50","","","18.1%","1.48","","","","","9","55.0","19291"
"Sam Howard","Pirates","1.15","12.5%","2.30","4.15","4.48","1.09","149","36.0%","-0.54","","","","","","","","","0.4%","5.48","63.2%","2.24","","","","","","","0.4%","5.48","","","","","0","","16265"
"Rafael Montero","Rangers","0.77","7.1%","2.31","2.85","4.08","0.77","128","48.4%","2.33","","","","","","","","","24.5%","6.16","5.2%","13.93","","","","","","","21.9%","3.12","","","","","0","","12760"
"Dillon Tate","Orioles","0.77","14.3%","2.31","3.79","3.85","0.69","105","23.5%","3.01","","","","","","","","","28.3%","0.18","30.0%","4.79","","","","","","","18.2%","3.57","","","","","0","","17796"
"A.J. Cole","Blue Jays","0.93","7.4%","2.33","4.17","5.56","1.09","193","33.2%","0.33","","","6.7%","-1.54","","","","","","","50.3%","2.97","1.3%","3.24","","","","","8.5%","1.78","","","","","0","","11467"
"Junior Guerra","Diamondbacks","0.47","9.1%","2.37","4.40","4.85","1.32","199","30.2%","1.59","","","","","18.0%","5.55","","","31.4%","2.98","","","20.4%","0.21","","","","","","","","","","","0","","5702"
"Yonny Chirinos","Rays","1.59","16.7%","2.38","5.31","5.08","1.59","115","11.6%","7.96","","","","","24.7%","0.22","","","48.4%","-3.54","15.3%","-3.11","","","","","","","","","","","","","3","11.1","16401"
"Conner Menez","Giants","1.59","12.5%","2.38","5.66","6.13","0.97","109","54.4%","2.27","","","","","","","","","","","21.3%","1.54","21.9%","2.58","","","","","2.4%","4.64","","","","","0","","19199"
"Aaron Nola","Phillies","1.28","23.5%","2.40","3.10","2.43","0.89","572","24.4%","2.13","","","","","","","","","22.0%","0.87","","","","","24.6%","2.01","","","29.0%","2.95","","","","","9","56.1","16149"
"Ian Anderson","Braves","0.60","12.5%","2.40","3.46","3.63","1.07","166","41.6%","1.68","","","","","","","","","","","","","25.3%","1.23","","","","","33.1%","4.32","","","","","3","15.0","19951"
"Joakim Soria","Athletics","0.48","4.2%","2.41","2.49","4.31","1.18","208","65.6%","-0.12","","","0.6%","15.80","","","","","","","19.1%","1.41","4.4%","2.96","","","","","10.3%","9.16","","","","","0","","6941"
"Kenta Maeda","Twins","0.97","15.0%","2.43","2.87","2.87","0.74","547","18.7%","4.83","","","3.2%","-1.33","","","","","6.7%","1.06","38.6%","0.23","3.1%","-3.86","","","","","29.7%","6.26","","","","","9","55.2","18498"
"Brad Hand","Indians","0.00","0.0%","2.45","1.83","4.23","0.89","151","40.9%","4.53","","","","","","","","","10.6%","-8.92","47.7%","1.74","0.8%","0.34","","","","","","","","","","","0","","9111"
"Brandon Bailey","Astros","1.23","9.1%","2.45","5.51","6.67","1.23","62","52.6%","0.37","","","","","","","","","","","9.3%","-8.18","20.6%","6.38","","","","","17.5%","4.16","","","","","0","","19582"
"Zack Wheeler","Phillies","0.35","6.5%","2.47","3.11","3.79","1.10","497","41.5%","0.30","","","","","","","","","24.2%","2.95","16.2%","1.79","10.9%","3.74","","","","","7.2%","3.48","","","","","8","51.0","10310"
"Dylan Bundy","Angels","0.62","8.3%","2.48","2.66","3.38","0.91","571","31.4%","-0.24","","","","","","","","","8.6%","0.55","26.7%","4.88","11.5%","3.12","","","","","21.9%","1.39","","","","","9","58.0","12917"
"Zach Davies","Padres","0.99","10.2%","2.48","3.61","4.30","0.96","497","","","","","13.9%","1.93","","","","","42.1%","1.73","","","3.0%","1.32","","","","","41.1%","2.64","","","","","9","54.1","13183"
"Tejay Antone","Reds","1.07","13.6%","2.49","3.66","3.82","0.95","249","","","","","","","","","","","41.6%","3.37","42.1%","-0.27","13.2%","8.51","","","","","3.2%","0.36","","","","","3","13.1","16233"
"Lance Lynn","Rangers","1.26","13.0%","2.52","4.12","4.40","0.98","690","53.5%","1.04","","","19.8%","0.49","","","","","15.1%","2.14","","","10.6%","6.39","","","","","0.7%","6.20","","","","","10","64.1","2520"
"Adrian Morejon","Padres","0.84","25.0%","2.53","2.35","1.86","1.13","115","","","","","","","","","","","60.7%","-0.49","11.3%","-1.97","11.9%","4.87","","","","","16.1%","9.50","","","","","2","4.2","20039"
"Trevor Rosenthal","- - -","1.02","15.4%","2.55","3.13","3.10","1.08","190","68.0%","1.16","","","","","","","","","2.7%","5.92","20.8%","2.44","","","","","","","8.5%","6.68","","","","","0","","10745"
"Paul Fry","Orioles","1.53","23.1%","2.55","3.59","2.82","1.36","178","56.1%","-2.72","","","","","","","","","","","43.2%","5.23","","","","","","","0.7%","5.48","","","","","0","","15832"
"Jordan Weems","Athletics","0.00","0.0%","2.57","1.62","3.57","1.00","62","64.6%","-1.37","","","","","","","","","","","16.7%","12.09","","","","","","","18.8%","5.94","","","","","0","","13190"
"Triston McKenzie","Indians","1.29","15.0%","2.57","3.28","3.29","0.76","217","57.3%","2.04","","","","","","","","","","","16.9%","6.42","15.1%","2.54","","","","","10.7%","-3.07","","","","","4","21.0","18000"
"Daniel Norris","Tigers","0.43","5.9%","2.57","2.43","3.39","1.10","238","49.6%","0.79","","","","","","","","","","","20.7%","-0.01","0.3%","5.48","","","","","29.5%","4.10","","","","","1","1.2","13475"
"James Karinchak","Indians","0.43","6.3%","2.57","1.24","2.11","1.00","224","46.5%","2.45","","","","","","","","","","","","","53.5%","3.72","","","","","","","","","","","0","","20151"
"Zack Britton","Yankees","0.00","0.0%","2.57","2.98","3.95","1.29","128","","","","","","","","","","","79.2%","1.73","20.8%","6.77","","","","","","","","","","","","","0","","3240"
"Merrill Kelly","Diamondbacks","1.44","15.2%","2.59","3.99","3.97","0.99","308","24.7%","0.56","","","20.1%","1.35","","","","","17.6%","4.96","","","22.2%","1.64","","","","","15.4%","0.64","","","","","5","31.1","11156"
"Brad Keller","Royals","0.00","0.0%","2.60","3.10","4.29","1.10","353","39.2%","2.41","","","","","","","","","25.0%","1.57","35.6%","3.46","","","","","","","0.2%","6.34","","","","","6","34.2","15734"
"Mike Mayers","Angels","0.52","5.9%","2.60","1.69","2.86","1.04","197","36.4%","1.60","","","26.6%","-1.83","","","","","0.3%","5.48","32.6%","1.18","4.1%","1.26","","","","","","","","","","","0","","15451"
"Luis Cessa","Yankees","1.06","10.0%","2.65","3.60","4.37","0.94","176","17.9%","-2.83","","","","","","","","","6.7%","0.99","59.3%","3.00","2.2%","-2.31","","","","","13.8%","-2.45","","","","","0","","13345"
"T.J. McFarland","Athletics","1.59","27.3%","2.65","5.31","4.28","1.18","159","","","","","","","","","","","60.7%","-0.44","23.7%","1.70","","","","","","","15.7%","0.37","","","","","0","","3237"
"Tanner Rainey","Nationals","1.77","25.0%","2.66","3.78","2.76","0.74","191","60.9%","0.64","","","","","","","","","","","39.1%","4.93","","","","","","","","","","","","","0","","17610"
"Peter Fairbanks","Rays","0.44","5.6%","2.66","2.75","3.84","1.38","228","56.5%","1.30","","","","","","","","","1.3%","0.39","41.9%","1.58","","","","","","","0.3%","4.31","","","","","0","","17998"
"Evan Marshall","White Sox","0.44","8.3%","2.66","2.21","2.72","1.18","239","20.8%","-0.69","","","","","","","","","9.6%","1.46","","","30.1%","2.14","","","","","39.6%","2.25","","","","","0","","12297"
"Jonathan Hernandez","Rangers","0.00","0.0%","2.66","2.09","3.99","0.97","234","2.2%","-0.12","","","","","","","","","49.2%","0.15","38.7%","4.07","","","","","","","10.0%","4.87","","","","","0","","17464"
"Dane Dunning","White Sox","0.45","7.1%","2.70","2.79","3.51","1.00","197","26.1%","0.13","","","","","","","","","34.6%","2.39","25.8%","5.39","","","6.3%","4.01","","","7.2%","5.41","","","","","4","20.0","19409"
"Lou Trivino","Athletics","0.54","5.9%","2.70","2.59","3.80","0.96","164","29.8%","2.23","","","22.0%","5.17","","","","","26.7%","-3.15","","","12.9%","10.16","","","","","8.6%","5.52","","","","","0","","15043"
"Alex Reyes","Cardinals","0.68","6.7%","2.70","3.64","4.86","1.28","134","52.9%","1.86","","","","","","","","","8.4%","-0.53","18.7%","4.27","17.8%","2.75","","","","","2.2%","2.54","","","","","1","1.0","15015"
"Julian Merryweather","Blue Jays","0.00","0.0%","2.70","1.59","2.57","1.00","117","59.8%","3.21","","","","","","","","","2.8%","-1.59","13.4%","2.25","7.8%","-1.15","","","","","16.2%","3.58","","","","","2","4.0","16703"
"Brandon Waddell","Pirates","0.00","0.0%","2.70","3.79","6.14","1.20","23","22.5%","2.25","","","","","","","","","22.5%","5.63","40.8%","-3.85","","","","","","","14.3%","5.27","","","","","0","","18347"
"Nick Vincent","Marlins","1.08","11.8%","2.70","4.09","4.52","0.96","140","47.5%","0.06","","","33.9%","0.81","","","","","5.0%","4.89","4.1%","10.03","","","","","","","9.5%","0.58","","","","","0","","7555"
"Tyler Webb","Cardinals","1.35","11.8%","2.70","4.99","5.53","1.28","152","38.4%","-1.38","","","","","","","","","19.2%","1.61","","","19.2%","2.83","","","","","23.2%","2.51","","","","","0","","14974"
"Bryan Abreu","Astros","0.00","0.0%","2.70","9.49","11.25","2.40","30","35.5%","-1.38","","","","","","","","","","","64.5%","2.99","","","","","","","","","","","","","0","","16609"
"Michael Pineda","Twins","0.00","0.0%","2.77","2.04","3.99","0.92","124","49.2%","1.72","","","","","","","","","","","39.5%","4.25","","","","","","","11.4%","4.66","","","","","2","13.0","5372"
"Dustin May","Dodgers","1.30","17.7%","2.81","4.51","4.23","1.13","439","4.6%","8.58","","","28.2%","0.52","","","","","50.6%","0.17","","","11.7%","3.40","","","","","4.9%","7.18","","","","","9","41.2","19716"
"Riley Smith","Diamondbacks","1.42","20.0%","2.84","6.03","5.52","1.42","63","","","","","","","","","","","63.9%","0.43","17.6%","1.00","17.6%","7.08","","","","","0.9%","5.92","","","","","0","","19826"
"Jorge Alcala","Twins","0.95","12.5%","2.84","3.24","3.52","1.21","190","47.2%","-0.02","","","","","","","","","","","44.0%","2.47","","","","","","","8.8%","1.90","","","","","0","","19459"
"Matt Strahm","Padres","1.42","16.7%","2.84","4.87","4.67","0.84","177","31.4%","0.91","","","","","","","","","25.2%","5.34","11.7%","-5.29","21.2%","0.00","","","","","10.6%","2.40","","","","","0","","13799"
"Phillips Valdez","Red Sox","1.07","15.8%","2.84","4.45","4.38","1.58","246","","","","","","","","","","","43.9%","-0.78","6.4%","3.24","","","","","","","49.6%","2.77","","","","","0","","15605"
"Yohan Ramirez","Mariners","1.72","13.6%","2.87","5.93","6.19","1.34","170","63.3%","-0.88","","","","","","","","","0.6%","-0.32","36.1%","6.25","","","","","","","","","","","","","0","","19444"
"Chaz Roe","Rays","0.00","0.0%","2.89","2.55","4.85","1.39","104","5.7%","0.38","","","15.7%","-3.80","","","","","20.1%","-3.34","58.5%","2.97","","","","","","","","","","","","","0","","9866"
"Mychal Givens","- - -","1.45","11.5%","2.89","4.26","4.90","1.13","221","67.9%","2.17","","","","","","","","","0.3%","4.31","15.9%","0.00","","","","","","","15.9%","1.79","","","","","0","","10430"
"Yency Almonte","Rockies","0.42","5.0%","2.91","2.59","3.79","0.92","210","38.8%","0.87","","","","","","","","","","","49.2%","3.00","","","","","","","11.9%","-1.80","","","","","0","","15068"
"Stefan Crichton","Diamondbacks","0.42","5.3%","2.91","3.56","4.67","1.43","231","1.7%","-1.53","","","","","","","","","59.2%","-0.27","","","38.0%","2.32","","","","","1.1%","6.00","","","","","0","","16058"
"Adam Wainwright","Cardinals","1.17","12.5%","2.91","4.20","4.55","1.01","433","10.0%","2.97","","","23.5%","0.35","","","","","27.1%","2.75","","","36.6%","2.26","","","","","2.9%","2.04","","","","","7","46.1","2233"
"Drew Smyly","Giants","0.73","9.1%","2.92","2.38","3.07","1.14","145","40.1%","1.07","","","24.5%","4.31","","","","","","","","","35.4%","1.69","","","","","","","","","","","2","7.1","11760"
"Scott Alexander","Dodgers","1.46","66.7%","2.92","6.03","4.39","1.46","122","2.0%","3.94","","","","","","","","","81.2%","1.44","16.8%","4.90","","","","","","","","","","","","","0","","10591"
"Taijuan Walker","- - -","1.27","13.0%","2.95","4.81","5.09","1.17","422","36.1%","1.19","","","22.8%","2.74","17.6%","2.43","","","13.3%","-1.97","","","10.3%","0.06","","","","","","","","","","","8","42.2","11836"
"Justin Verlander","Astros","3.00","40.0%","3.00","5.69","2.99","0.67","48","54.8%","-3.34","","","","","","","","","","","37.0%","5.66","1.4%","-6.18","","","","","6.9%","10.69","","","","","1","6.0","8700"
"Caleb Smith","- - -","3.00","22.2%","3.00","9.02","7.62","1.50","65","54.6%","1.25","","","","","","","","","","","20.0%","-0.78","10.0%","5.80","","","","","15.5%","3.88","","","","","2","6.0","14875"
"Ben Heller","Yankees","3.00","28.6%","3.00","7.52","5.47","1.17","70","51.4%","-4.58","","","","","","","","","","","","","36.0%","2.37","","","","","12.6%","4.73","","","","","0","","15100"
"Jason Adam","Cubs","1.00","12.5%","3.00","2.41","2.71","1.33","115","50.8%","-0.77","","","","","","","","","","","","","33.9%","0.68","","","","","15.3%","6.36","","","","","0","","11861"
"Jake McGee","Dodgers","0.60","7.7%","3.00","1.46","2.28","0.87","173","96.4%","1.22","","","","","","","","","0.4%","","3.2%","4.33","","","","","","","","","","","","","0","","7550"
"JoJo Romero","Phillies","0.00","0.0%","3.00","1.02","1.67","0.67","57","22.2%","3.40","","","","","","","","","32.1%","4.25","32.1%","2.99","","","","","","","13.6%","13.17","","","","","0","","19574"
"Marco Gonzales","Mariners","1.07","9.8%","3.02","3.27","4.08","0.87","531","","","","","25.2%","2.93","","","","","45.5%","1.51","","","15.3%","0.77","","","","","14.1%","-1.78","","","","","8","50.2","15467"
"Deivi Garcia","Yankees","1.02","8.7%","3.06","3.13","4.21","0.91","179","60.8%","1.30","","","","","","","","","","","6.0%","5.43","19.3%","2.83","","","","","14.0%","3.63","","","","","3","17.2","20276"
"Jimmy Herget","Rangers","0.61","6.3%","3.07","5.24","6.48","1.50","155","40.8%","1.72","","","","","","","","","12.6%","-1.33","21.0%","1.80","18.3%","2.66","","","","","6.1%","4.31","","","","","0","","17556"
"Dan Winkler","Cubs","1.23","15.4%","3.07","5.44","5.40","1.30","146","21.2%","3.74","","","59.8%","1.67","","","","","9.1%","6.17","","","9.5%","3.87","","","","","0.4%","7.15","","","","","0","","12237"
"Pierce Johnson","Padres","0.61","7.7%","3.07","2.58","3.42","1.23","143","6.4%","2.34","","","","","","","","","40.6%","-1.62","","","53.0%","5.22","","","","","","","","","","","0","","13435"
"Jack Flaherty","Cardinals","1.03","18.8%","3.08","3.87","3.58","1.03","286","41.7%","-0.26","","","","","","","","","13.6%","1.24","29.5%","3.15","13.6%","2.92","","","","","1.6%","-3.09","","","","","6","26.1","17479"
"Anthony Bass","Blue Jays","0.89","10.0%","3.10","3.73","4.38","0.98","187","0.3%","6.34","","","","","5.3%","9.44","","","54.5%","1.08","39.9%","4.42","","","","","","","","","","","","","0","","7982"
"Aaron Loup","Rays","1.33","18.8%","3.10","4.32","3.94","0.98","191","","","","","31.9%","1.30","","","","","49.3%","1.24","","","10.3%","3.65","","","","","8.5%","6.71","","","","","0","","10343"
"Chris Bassitt","Athletics","1.04","9.4%","3.12","4.09","4.98","1.20","422","15.1%","4.16","","","22.1%","0.95","","","","","40.1%","-1.80","2.9%","2.82","9.2%","5.40","","","","","10.7%","5.45","","","","","8","43.1","12304"
"Brandon Kintzler","Marlins","1.56","23.1%","3.12","5.55","4.77","1.27","154","0.9%","3.54","","","","","","","","","76.3%","2.05","7.8%","-0.15","","","","","","","15.1%","0.84","","","","","0","","9939"
"Drew Rasmussen","Brewers","0.00","0.0%","3.12","3.19","3.87","1.62","101","72.8%","1.61","","","","","","","","","","","14.8%","6.28","5.9%","0.54","","","","","6.5%","0.13","","","","","0","","25385"
"Caleb Ferguson","Dodgers","2.08","26.7%","3.12","3.82","2.52","1.10","204","79.8%","0.10","","","20.2%","2.49","","","","","","","","","","","","","","","","","","","","","1","1.0","19349"
"Carlos Carrasco","Indians","1.10","15.8%","3.12","3.70","3.62","1.29","518","33.1%","-1.43","","","","","","","","","6.0%","-4.02","29.4%","5.48","3.7%","0.48","","","","","27.7%","0.39","","","","","9","49.0","6632"
"Travis Lakins","Orioles","0.45","5.9%","3.15","3.59","4.60","1.50","220","30.6%","-0.14","","","43.0%","0.98","","","","","","","","","22.9%","-0.67","","","","","3.6%","9.49","","","","","0","","18600"
"Elieser Hernandez","Marlins","1.75","17.2%","3.16","3.89","3.57","1.01","308","58.9%","-0.08","","","","","","","","","","","35.1%","2.47","","","","","","","6.0%","2.80","","","","","6","25.2","16933"
"Masahiro Tanaka","Yankees","1.46","13.0%","3.16","4.03","4.35","1.03","388","25.7%","0.28","","","","","25.6%","2.50","","","4.4%","1.15","38.0%","1.09","6.3%","-0.31","","","","","","","","","","","8","37.0","15764"
"Jonathan Loaisiga","Yankees","1.59","30.0%","3.18","4.37","3.22","1.06","184","42.9%","0.57","","","","","","","","","22.7%","0.06","","","19.1%","-1.49","","","","","15.4%","5.75","","","","","3","8.1","19753"
"Cionel Perez","Astros","0.00","0.0%","3.18","4.25","5.28","2.12","66","62.1%","0.62","","","","","","","","","","","35.3%","4.67","","","","","","","2.6%","4.21","","","","","0","","19614"
"Hyun-Jin Ryu","Blue Jays","1.13","18.8%","3.19","3.54","3.22","1.15","535","25.6%","1.36","","","21.1%","-0.18","","","","","11.1%","-0.56","","","13.0%","5.28","","","","","29.4%","2.71","","","","","9","48.0","14444"
"Dakota Hudson","Cardinals","1.45","20.8%","3.19","4.51","3.93","1.00","294","24.3%","3.90","","","","","","","","","33.3%","-0.39","20.0%","-0.70","20.3%","3.45","","","","","2.1%","6.64","","","","","6","31.0","19206"
"Gerrit Cole","Yankees","1.98","21.0%","3.20","4.24","3.43","1.02","651","53.2%","0.56","","","","","","","","","","","24.5%","2.46","","","17.1%","1.55","","","5.2%","-0.64","","","","","10","59.0","13125"
"Blake Snell","Rays","1.85","27.6%","3.23","4.37","3.16","1.23","425","52.7%","-0.57","","","","","","","","","","","12.3%","7.22","15.9%","5.07","","","","","19.1%","-0.30","","","","","9","39.0","13543"
"Ljay Newsome","Mariners","2.16","25.0%","3.24","4.63","3.39","0.96","90","46.8%","0.64","","","","","","","","","","","","","30.2%","-0.47","","","","","23.0%","-1.61","","","","","2","5.1","19942"
"Brusdar Graterol","Dodgers","0.00","0.0%","3.24","3.13","4.54","0.96","143","3.9%","-5.15","","","","","","","","","68.6%","2.62","27.0%","7.02","","","","","","","0.5%","-45.50","","","","","0","","20367"
"Enoli Paredes","Astros","0.54","7.7%","3.24","3.79","4.53","1.62","184","69.8%","1.84","","","","","","","","","","","25.3%","3.06","3.0%","6.59","","","","","2.0%","3.95","","","","","0","","20447"
"Jalen Beeks","Rays","0.47","6.7%","3.26","1.79","2.64","1.29","234","42.3%","0.85","","","14.1%","3.37","","","","","","","","","","","","","","","43.6%","2.15","","","","","0","","17192"
"Gregory Soto","Tigers","0.93","15.4%","3.26","3.40","3.37","1.09","191","4.5%","-2.68","","","","","","","","","75.7%","2.22","19.8%","5.77","","","","","","","","","","","","","0","","19677"
"Zack Greinke","Astros","0.52","5.7%","3.27","2.54","3.77","1.01","508","40.7%","0.06","","","","","","","","","21.4%","4.53","15.6%","1.87","5.8%","1.26","","","","","6.5%","-0.71","","","","","9","52.1","1943"
"Joey Gerber","Mariners","0.00","0.0%","3.27","3.55","5.69","1.00","102","28.1%","-0.38","","","","","","","","","35.3%","3.57","36.5%","3.00","","","","","","","","","","","","","0","","24591"
"Genesis Cabrera","Cardinals","1.98","21.4%","3.29","6.12","5.27","1.17","136","54.2%","2.69","","","","","","","","","","","","","33.1%","5.48","","","","","12.7%","-3.66","","","","","0","","17490"
"Sergio Romo","Twins","1.10","10.0%","3.31","3.68","4.48","0.73","173","12.9%","2.48","","","","","","","","","9.2%","-0.12","66.4%","2.02","","","","","","","11.4%","3.12","","","","","0","","9817"
"Daniel Castano","Marlins","1.42","15.0%","3.32","5.72","5.72","1.58","194","43.5%","0.30","","","","","","","","","8.3%","-0.10","25.1%","4.90","","","","","","","23.2%","-0.62","","","","","5","19.0","19805"
"Spencer Turnbull","Tigers","0.22","3.2%","3.32","3.90","5.07","1.33","394","46.8%","2.06","","","","","","","","","22.0%","2.97","18.5%","4.06","3.0%","-3.52","","","","","9.8%","1.90","","","","","8","40.2","16207"
"Dylan Cease","White Sox","1.76","15.8%","3.33","5.93","5.81","1.30","481","47.8%","-0.65","","","","","","","","","","","32.5%","1.17","","","9.7%","3.46","","","10.0%","-1.96","","","","","9","46.0","18525"
"Cody Stashak","Twins","2.25","20.0%","3.38","4.81","4.01","1.00","84","51.2%","-0.51","","","","","","","","","","","46.3%","3.30","","","","","","","2.4%","22.70","","","","","0","","18088"
"Chad Kuhl","Pirates","1.97","20.6%","3.38","5.88","5.11","1.28","314","1.7%","9.39","","","","","","","","","41.4%","-0.29","33.3%","2.61","","","18.9%","2.75","","","4.7%","6.24","","","","","6","27.0","14975"
"Richard Rodriguez","Pirates","1.45","15.8%","3.38","3.40","3.30","0.75","197","57.0%","0.34","","","","","","","","","14.7%","4.11","28.3%","5.05","","","","","","","","","","","","","0","","13549"
"Jaime Barria","Angels","0.96","7.7%","3.38","3.89","5.22","1.07","192","28.6%","-0.41","","","","","","","","","16.2%","2.69","40.1%","0.09","","","","","","","15.2%","3.66","","","","","2","9.1","18356"
"Cristian Javier","Astros","1.90","15.0%","3.38","5.39","5.40","0.98","415","62.5%","1.47","","","","","","","","","","","27.7%","5.69","2.5%","3.27","","","","","7.3%","-2.55","","","","","8","41.2","17606"
"Seth Elledge","Cardinals","1.13","12.5%","3.38","4.69","5.02","1.38","93","1.2%","2.74","","","","","","","","","65.2%","0.01","33.5%","5.29","","","","","","","","","","","","","0","","19766"
"Archie Bradley","- - -","0.00","0.0%","3.38","1.99","3.46","1.35","127","62.9%","1.27","","","","","","","","","3.1%","-0.23","","","","","22.8%","4.51","","","11.2%","1.76","","","","","0","","12918"
"Oliver Drake","Rays","0.00","0.0%","3.38","3.38","4.11","1.13","50","40.5%","5.96","","","2.5%","2.16","57.0%","-0.36","","","","","","","","","","","","","","","","","","","0","","8823"
"Brandon Woodruff","Brewers","1.02","12.2%","3.40","3.21","3.54","1.08","598","35.4%","1.59","","","","","","","","","30.0%","0.75","12.9%","5.12","4.9%","1.50","","","","","16.8%","0.23","","","","","10","53.0","16162"
"Max Scherzer","Nationals","1.07","12.0%","3.40","3.07","3.46","1.33","560","47.1%","-0.59","","","9.9%","7.77","","","","","","","16.9%","3.49","10.1%","-1.80","","","","","16.1%","0.18","","","","","9","50.1","3137"
"Kyle Hendricks","Cubs","1.09","12.5%","3.41","3.60","3.92","1.09","587","20.0%","2.22","","","","","","","","","33.3%","-0.52","","","15.8%","4.22","","","","","31.0%","2.13","","","","","9","58.0","12049"
"Lucas Giolito","White Sox","0.75","10.6%","3.43","2.74","3.19","1.03","647","49.6%","2.28","","","","","","","","","","","14.2%","3.01","1.1%","4.87","","","","","35.1%","2.40","","","","","10","60.1","15474"
"Luis Castillo","Reds","0.69","12.1%","3.44","2.86","3.10","1.32","570","27.6%","1.51","","","","","","","","","23.3%","0.42","17.8%","1.79","","","","","","","31.3%","2.12","","","","","9","52.1","15689"
