"Name","Team","HR/9","HR/FB","ERA","FIP","xFIP","WHIP","Strikes","FA% (pfx)","wFA/C (pfx)","FT% (pfx)","wFT/C (pfx)","FC% (pfx)","wFC/C (pfx)","FS% (pfx)","wFS/C (pfx)","FO% (pfx)","wFO/C (pfx)","SI% (pfx)","wSI/C (pfx)","SL% (pfx)","wSL/C (pfx)","CU% (pfx)","wCU/C (pfx)","KC% (pfx)","wKC/C (pfx)","EP% (pfx)","wEP/C (pfx)","CH% (pfx)","wCH/C (pfx)","SC% (pfx)","wSC/C (pfx)","KN% (pfx)","wKN/C (pfx)","GS","Start-IP","playerid"
"Jose Ruiz","White Sox","0.00","0.0%","0.00","2.19","5.12","0.50","19","60.0%","0.74","","","","","","","","","","","30.0%","4.79","6.7%","3.54","","","","","3.3%","7.15","","","","","0","","14552"
"Matt Dermody","Cubs","0.00","0.0%","0.00","1.19","1.19","0.00","5","","","44.4%","6.87","","","","","","","","","22.2%","5.12","","","","","","","33.3%","5.60","","","","","0","","14844"
"Kyle McGowin","Nationals","0.00","0.0%","0.00","2.10","3.70","0.82","35","18.6%","9.46","","","","","","","","","5.1%","0.62","76.3%","5.24","","","","","","","","","","","","","0","","15071"
"Jimmy Yacabonis","Mariners","0.00","0.0%","0.00","3.19","7.10","0.00","5","","","62.5%","11.34","","","","","","","","","","","","","","","","","37.5%","9.22","","","","","0","","15157"
"Rob Kaminsky","Cardinals","0.00","0.0%","0.00","1.86","2.51","0.33","25","29.0%","8.96","","","","","","","","","","","39.5%","2.30","","","","","","","31.6%","1.94","","","","","0","","15792"
"Jesus Tinoco","Marlins","0.00","0.0%","0.00","3.79","4.57","0.60","45","6.5%","-2.46","","","","","","","","","61.0%","4.60","31.2%","6.58","1.3%","","","","","","","","","","","","0","","16300"
"Alex McRae","White Sox","0.00","0.0%","0.00","-0.81","1.14","1.00","8","66.7%","1.18","6.7%","4.31","","","","","","","","","","","26.7%","0.21","","","","","","","","","","","0","","16317"
"Foster Griffin","Royals","0.00","0.0%","0.00","1.99","3.16","0.00","14","30.4%","-2.12","","","52.2%","4.75","","","","","","","","","4.4%","0.00","","","","","13.0%","12.68","","","","","0","","16432"
"Luis Guillorme","Mets","0.00","0.0%","0.00","3.19","5.14","0.00","6","","","","","","","","","","","","","","","100.0%","8.27","","","","","","","","","","","0","","16451"
"Joe Harvey","Rockies","0.00","0.0%","0.00","2.89","5.82","0.90","36","56.0%","-3.20","","","","","","","","","","","44.0%","5.81","","","","","","","","","","","","","0","","16459"
"James Bourque","Nationals","0.00","0.0%","0.00","7.05","8.72","1.71","18","77.8%","7.75","","","","","","","","","","","","","22.2%","-8.09","","","","","","","","","","","0","","16668"
"Nabil Crismatt","Cardinals","0.00","0.0%","0.00","2.04","3.39","0.46","36","26.4%","9.47","","","","","","","","","20.8%","5.97","","","18.9%","-4.91","","","","","34.0%","4.44","","","","","0","","17732"
"Max Schrock","Cardinals","0.00","0.0%","0.00","3.19","7.10","0.00","5","","","","","","","","","","","","","","","100.0%","9.91","","","","","","","","","","","0","","17750"
"Jose Rodriguez","Angels","0.00","0.0%","0.00","4.99","9.68","1.80","23","59.0%","2.84","","","","","","","","","","","18.0%","-1.53","10.3%","3.42","","","","","12.8%","2.05","","","","","0","","17860"
