Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Shane Bieber (15252375),Shane Bieber,15252375,P,11000,CLE@KC 09/01/2020 08:05PM ET,CLE,33.76
SP,Lucas Giolito (15252243),Lucas Giolito,15252243,P,10400,CWS@MIN 09/01/2020 08:10PM ET,CWS,24.86
SP,Carlos Carrasco (15252032),Carlos Carrasco,15252032,P,10300,CLE@KC 09/01/2020 08:05PM ET,CLE,17.17
SP,Corey Kluber (15252069),Corey Kluber,15252069,P,10200,TEX@HOU 09/01/2020 08:10PM ET,TEX,3.65
SP,Zack Greinke (15252021),Zack Greinke,15252021,P,9900,TEX@HOU 09/01/2020 08:10PM ET,HOU,17.34
SP,Kenta Maeda (15252059),Kenta Maeda,15252059,P,9600,CWS@MIN 09/01/2020 08:10PM ET,MIN,23.54
SP,Cristian Javier (15252393),Cristian Javier,15252393,P,9500,TEX@HOU 09/01/2020 08:10PM ET,HOU,14.08
SP,Aaron Civale (15252382),Aaron Civale,15252382,P,9400,CLE@KC 09/01/2020 08:05PM ET,CLE,19.34
SP,Lance Lynn (15252083),Lance Lynn,15252083,P,9200,TEX@HOU 09/01/2020 08:10PM ET,TEX,24.4
SP,Jake Odorizzi (15252080),Jake Odorizzi,15252080,P,9000,CWS@MIN 09/01/2020 08:10PM ET,MIN,4.1
SP,Lance McCullers Jr. (15252240),Lance McCullers Jr.,15252240,P,8900,TEX@HOU 09/01/2020 08:10PM ET,HOU,12.31
SP,Dylan Cease (15252340),Dylan Cease,15252340,P,8800,CWS@MIN 09/01/2020 08:10PM ET,CWS,13.77
SP,Dallas Keuchel (15252109),Dallas Keuchel,15252109,P,8700,CWS@MIN 09/01/2020 08:10PM ET,CWS,16.64
SP,Josh James (15252352),Josh James,15252352,P,8700,TEX@HOU 09/01/2020 08:10PM ET,HOU,1.11
RP,Lewis Thorpe (15252314),Lewis Thorpe,15252314,P,8400,CWS@MIN 09/01/2020 08:10PM ET,MIN,2.05
RP,Zach Plesac (15252376),Zach Plesac,15252376,P,8300,CLE@KC 09/01/2020 08:05PM ET,CLE,28.28
