PLAYER,POS,REAL POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Seth Beer,OF,OF,ARI,LAD,,2100,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Dominic Fletcher,OF,OF,ARI,LAD,,2100,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Geraldo Perdomo,SS,SS,ARI,LAD,,2300,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
John Hicks,1B,1B/C,ARI,LAD,,2600,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Corbin Carroll,OF,OF,ARI,LAD,,2100,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Kevin Cron,1B,1B,ARI,LAD,,2200,0.0,0.0,0.4,0.2,0.8,0.3,In Dome
Pavin Smith,1B,1B,ARI,LAD,,2300,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Patrick Wisdom,1B,1B/3B,CHC,CIN,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 12 In
Michael Papierski,C,C,HOU,@OAK,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Ronnie Dawson,OF,OF,HOU,@OAK,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Colton Shaver,C,C,HOU,@OAK,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Chas McCormick,OF,OF,HOU,@OAK,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Jake Meyers,OF,OF,HOU,@OAK,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Anthony Garcia,OF,OF,LAD,@ARI,,2400,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Keibert Ruiz,C,C,LAD,@ARI,,3400,0.0,0.0,8.5,2.5,8.5,2.5,In Dome
Rocky Gale,C,C,LAD,@ARI,,2400,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Luke Raley,OF,OF,LAD,@ARI,,2200,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Carson Taylor,C,C,LAD,@ARI,,2600,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
