Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2020,"Aaron Hicks","NYY",29,107,87,19,8,7,1,3,13,10,20,1,21,0,0,0,1,0,0,0.218390804,5297
2020,"Brandon Crawford","SFG",32,113,101,27,19,5,0,3,15,10,10,1,26,2,0,0,2,0,2,0.267326732,5343
2020,"Freddie Freeman","ATL",34,143,118,37,20,11,1,5,27,21,25,3,23,0,0,0,4,0,0,0.313559322,5361
2020,"Pablo Sandoval","SFG",27,79,72,15,13,1,0,1,4,6,5,0,17,1,1,0,3,0,0,0.208333333,5409
2020,"Jose Altuve","HOU",32,145,133,28,20,5,0,3,20,12,11,0,28,1,0,0,5,2,2,0.210526315,5417
2020,"Ji-Man Choi","TBR",33,117,98,23,11,9,0,3,13,13,16,2,30,0,3,0,1,0,0,0.234693877,5452
2020,"Austin Romine","DET",22,81,79,23,17,4,0,2,10,14,2,0,23,0,0,0,2,0,0,0.29113924,5491
2020,"Marwin Gonzalez","MIN",32,127,111,25,20,2,0,3,9,13,12,0,29,1,3,0,0,0,0,0.225225225,5497
2020,"Matt Kemp","COL",27,85,75,18,12,3,0,3,13,15,10,1,22,0,0,0,4,0,0,0.24,5631
2020,"Steven Souza Jr.","CHC",9,24,21,4,1,2,0,1,3,5,3,0,10,0,0,0,0,1,0,0.19047619,5667
2020,"Avisail Garcia","MIL",30,117,103,23,15,6,0,2,14,11,11,2,28,3,0,0,2,0,1,0.22330097,5760
2020,"Wilmer Flores","SFG",32,126,119,34,21,5,0,8,18,21,5,0,19,1,1,0,2,0,0,0.285714285,5827
2020,"Leury Garcia","CHW",16,63,59,16,12,1,0,3,6,8,4,0,9,0,0,0,0,0,0,0.27118644,5913
2020,"Nick Markakis","ATL",18,63,57,21,10,10,0,1,8,11,5,0,8,1,0,0,2,0,1,0.368421052,5930
2020,"Jean Segura","PHI",26,106,94,24,18,1,1,4,15,12,11,0,19,0,0,1,2,1,1,0.255319148,5933
2020,"Didi Gregorius","PHI",30,120,106,30,19,4,2,5,19,19,9,2,12,3,2,0,1,2,1,0.283018867,6012
2020,"Eduardo Escobar","ARI",34,137,120,24,16,2,2,4,16,16,14,4,24,2,1,0,3,1,0,0.2,6153
2020,"J.D. Martinez","BOS",32,137,120,25,11,11,0,3,14,15,14,1,32,2,1,0,3,0,0,0.208333333,6184
2020,"Jordy Mercer","2 Tms",9,22,20,4,4,0,0,0,2,0,2,0,2,0,0,0,1,0,0,0.2,6547
2020,"Freddy Galvis","CIN",30,105,94,20,11,3,0,6,14,11,8,0,18,3,0,0,5,0,1,0.212765957,6609
2020,"Martin Maldonado","HOU",27,95,77,20,15,2,0,3,14,17,16,0,28,1,0,1,1,1,0,0.259740259,6887
2020,"Yadier Molina","STL",18,71,67,19,17,1,0,1,5,10,1,0,6,2,1,0,6,0,0,0.283582089,7007
2020,"Logan Forsythe","MIA",12,38,34,4,2,1,0,1,2,2,4,0,12,0,0,0,0,0,0,0.117647058,7185
2020,"Matt Davidson","CIN",15,36,33,7,3,1,0,3,3,11,3,0,9,0,0,0,1,0,0,0.212121212,7226
2020,"Salvador Perez","KCR",22,92,88,27,17,6,0,4,10,12,2,0,15,1,1,0,0,0,0,0.306818181,7304
2020,"Alex Avila","MIN",17,53,41,7,5,1,0,1,6,2,10,0,20,2,0,0,1,0,0,0.170731707,7476
2020,"Neil Walker","PHI",13,28,26,5,3,2,0,0,5,1,1,0,8,0,1,0,0,0,0,0.192307692,7539
2020,"Travis d'Arnaud","ATL",21,84,78,24,15,5,0,4,9,18,5,0,24,0,1,0,3,1,0,0.307692307,7739
2020,"Miguel Rojas","MIA",13,49,43,15,10,2,1,2,8,12,4,0,8,2,0,0,0,2,0,0.348837209,7802
2020,"Charlie Blackmon","COL",34,146,134,47,35,7,1,4,21,28,11,3,24,0,1,0,2,0,0,0.350746268,7859
2020,"Eric Sogard","MIL",26,93,81,15,12,2,0,1,9,6,11,0,14,1,0,0,1,0,0,0.185185185,7927
2020,"Jose Martinez","TBR",24,76,67,16,10,4,0,2,10,10,9,1,20,0,0,0,5,0,0,0.23880597,7996
2020,"Matt Carpenter","STL",24,90,72,13,9,3,0,1,11,13,14,0,24,4,0,0,0,0,0,0.180555555,8090
2020,"Josh Harrison","WSN",12,39,34,10,6,1,0,3,4,7,1,0,4,2,2,0,1,1,1,0.294117647,8202
2020,"Dee Gordon","SEA",20,62,58,11,10,1,0,0,7,1,3,0,12,1,0,0,1,1,2,0.189655172,8203
2020,"Hunter Pence","SFG",16,56,52,5,2,0,1,2,4,6,3,0,15,1,0,0,3,0,0,0.096153846,8252
2020,"Kurt Suzuki","WSN",18,71,63,18,14,3,0,1,8,7,4,0,11,2,2,0,4,0,0,0.285714285,8259
2020,"Ehire Adrianza","MIN",22,55,50,10,7,3,0,0,5,2,5,0,12,0,0,0,2,0,0,0.2,8418
2020,"Donovan Solano","SFG",29,119,110,36,24,10,0,2,15,18,7,0,20,1,1,0,1,0,0,0.327272727,8623
2020,"Elvis Andrus","TEX",21,82,76,14,9,5,0,0,7,3,6,0,10,0,0,0,2,3,1,0.184210526,8709
