PLAYER,POS,REAL POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Rangel Ravelo,1B,1B/OF,STL,CHC,,2200,2.1,1.0,0.0,0.0,0.0,0.0,W 4 R-L
Andrew Knizner,C,C,STL,CHC,,3100,2.1,0.7,2.8,0.9,3.0,1.0,W 4 R-L
Chad Pinder,2B,2B,OAK,SD,,2100,2.0,0.9,5.2,2.5,4.2,2.0,W 5 Out
Matt Wieters,C,C,STL,CHC,,2700,2.0,0.7,0.4,0.2,0.3,0.1,W 4 R-L
Nico Hoerner,2B,2B/3B,CHC,@STL,,2700,1.9,0.7,3.6,1.3,4.4,1.6,W 4 R-L
Jonah Heim,C,C,OAK,SD,,2800,1.9,0.7,3.5,1.3,3.5,1.3,W 5 Out
Vimael Machin,3B,3B,OAK,SD,,2500,1.8,0.7,3.0,1.2,2.2,0.9,W 5 Out
Greg Garcia,2B,2B,SD,@OAK,,2600,1.8,0.7,2.0,0.8,2.8,1.1,W 5 Out
Webster Rivas,C,C,SD,@OAK,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Kyle McCann,C,C,OAK,SD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
CJ Abrams,SS,SS,SD,@OAK,,2500,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Trejyn Fletcher,OF,OF,STL,CHC,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Hudson Head,OF,OF,SD,@OAK,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Brayan Buelvas,OF,OF,OAK,SD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Albert Almora,OF,OF,CHC,@STL,,2200,0.0,0.0,1.8,0.8,1.3,0.6,W 4 R-L
Dakota Hudson,P,RP,STL,CHC,Yes,8100,0.0,0.0,15.5,1.9,15.5,1.9,W 4 R-L
Ian Miller,OF,OF,CHC,@STL,,3800,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Sheldon Neuse,2B,2B,OAK,SD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Malcom Nunez,3B,3B,STL,@CHC,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 13 In
Gabriel Arias,SS,SS,CLE,MIL,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 12 L-R
Dustin Fowler,OF,OF,OAK,SD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Brennen Davis,OF,OF,CHC,@STL,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Julio Rodriguez,C,C,STL,CHC,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Zack Short,SS,SS,DET,@MIN,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
John Nogowski,1B,1B,STL,CHC,,2500,0.0,0.0,3.0,1.2,3.0,1.2,W 4 R-L
Logan Davidson,SS,SS,OAK,SD,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Justin Williams,OF,OF,STL,CHC,,2400,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Tommy Pham,OF,OF,SD,@OAK,,3700,0.0,0.0,5.8,1.6,6.9,1.9,W 5 Out
Nolan Gorman,3B,3B,STL,CHC,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Skye Bolt,OF,OF,OAK,SD,,2600,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Luis Barrera,OF,OF,OAK,SD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Edmundo Sosa,2B,2B/SS,STL,CHC,,2800,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Dexter Fowler,OF,OF,STL,CHC,,2800,0.0,0.0,12.0,4.3,6.5,2.3,W 4 R-L
Ivan Herrera,C,C,STL,CHC,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Tucupita Marcano,3B,3B/SS,SD,@OAK,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Owen Miller,SS,SS,CLE,MIL,,2400,0.0,0.0,0.0,0.0,0.0,0.0,W 12 L-R
Max Schrock,2B,2B,STL,CHC,,2400,0.0,0.0,0.5,0.2,2.0,0.8,W 4 R-L
Miguel Amaya,C,C,CHC,@STL,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Seth Brown,OF,OF,OAK,SD,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Austin Allen,C,C,OAK,SD,,3400,0.0,0.0,2.2,0.7,2.6,0.8,W 5 Out
Robert Puason,SS,SS,OAK,SD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Robert Hassell,OF,OF,SD,@OAK,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Tyler Soderstrom,C,C,OAK,SD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Jordan Walker,3B,3B,STL,CHC,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Nick Allen,SS,SS,OAK,SD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Evan Mendoza,3B,3B,STL,CHC,,2400,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
P.J. Higgins,C,C,CHC,@STL,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Austin Dean,1B,1B/OF,STL,CHC,,3400,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Masyn Winn,SS,SS,STL,CHC,,2600,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Elehuris Montero,3B,3B,STL,CHC,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Hernan Perez,2B,2B/SS,CHC,@STL,,2200,0.0,0.0,1.0,0.5,1.0,0.5,W 4 R-L
Jose Godoy,C,C,STL,CHC,,2400,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Josh Phegley,C,C,CHC,@STL,,2500,0.0,0.0,3.2,1.3,2.4,0.9,W 4 R-L
Christopher Morel,3B,3B,CHC,@STL,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Greg Deichmann,OF,OF,OAK,SD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Jorge Ona,OF,OF,SD,@OAK,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
