PLAYER,POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Webster Rivas,C1,SD,COL,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
Robert Hassell,OF,SD,COL,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
Taylor Jones,C1,HOU,@OAK,,2100,0.0,0.0,6.8,3.3,6.7,3.2,W 9 Out
Jose Altuve,2B,HOU,@OAK,,3200,0.0,0.0,5.5,1.7,8.6,2.7,W 9 Out
Joe McCarthy,OF,SF,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 10 Out
Jordan Brewer,OF,HOU,@OAK,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Andy Young,3B,ARI,@SF,,2000,0.0,0.0,4.3,2.2,6.5,3.2,W 10 Out
Luis Campusano,C1,SD,COL,,2000,0.0,0.0,12.5,6.2,12.5,6.2,W 7 Out
Steven Duggar,OF,SF,ARI,,2000,0.0,0.0,0.0,0.0,2.2,1.1,W 10 Out
Brendan Rodgers,2B,COL,@SD,,2000,0.0,0.0,1.8,0.9,2.7,1.4,W 7 Out
Alex De Goti,2B,HOU,@OAK,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Jamie Ritchie,C1,HOU,@OAK,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Seth Brown,C1,OAK,HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Eric Stamets,SS,COL,@SD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
Chris Rabago,SS,COL,@SD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
Matt Chapman,3B,OAK,HOU,5,3400,0.0,0.0,6.3,1.9,11.2,3.3,W 9 Out
Josh VanMeter,2B,ARI,@SF,,2000,0.0,0.0,1.8,0.9,3.5,1.8,W 10 Out
Francisco Mejia,C1,SD,COL,,2000,0.0,0.0,4.4,2.2,3.3,1.7,W 7 Out
Greg Allen,OF,SD,COL,,2000,0.0,0.0,7.4,3.7,4.9,2.4,W 7 Out
Michael Papierski,C1,HOU,@OAK,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Colton Shaver,C1,HOU,@OAK,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Nick Tanielu,3B,HOU,@OAK,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Jake Meyers,OF,HOU,@OAK,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Austin Allen,C1,OAK,HOU,,2000,0.0,0.0,2.4,1.2,3.3,1.7,W 9 Out
CJ Abrams,SS,SD,COL,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
Logan Wyatt,C1,SF,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 10 Out
Will Wilson,SS,SF,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 10 Out
Luis Toribio,3B,SF,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 10 Out
