Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Joseph Odom (15405657),Joseph Odom,15405657,C,2000,SF@SEA 09/15/2020 09:40PM ET,SEA,1.46
2B,Shed Long Jr. (15405663),Shed Long Jr.,15405663,2B,2000,SF@SEA 09/15/2020 09:40PM ET,SEA,5.03
C,Brian O'Keefe (15405689),Brian O'Keefe,15405689,C,2000,SF@SEA 09/15/2020 09:40PM ET,SEA,0
OF,Jake Fraley (15405705),Jake Fraley,15405705,OF,2000,SF@SEA 09/15/2020 09:40PM ET,SEA,6.83
C,Cal Raleigh (15405742),Cal Raleigh,15405742,C,2000,SF@SEA 09/15/2020 09:40PM ET,SEA,0
3B,Austin Shenton (15405761),Austin Shenton,15405761,3B,2000,SF@SEA 09/15/2020 09:40PM ET,SEA,0
OF,Julio Rodriguez (15405803),Julio Rodriguez,15405803,OF,2000,SF@SEA 09/15/2020 09:40PM ET,SEA,0
OF,Jarred Kelenic (15405805),Jarred Kelenic,15405805,OF,2000,SF@SEA 09/15/2020 09:40PM ET,SEA,0
SS,Noelvi Marte (15405819),Noelvi Marte,15405819,SS,2000,SF@SEA 09/15/2020 09:40PM ET,SEA,0
3B,Tyler Keenan (15405828),Tyler Keenan,15405828,3B,2000,SF@SEA 09/15/2020 09:40PM ET,SEA,0
OF,Zach DeLoach (15405829),Zach DeLoach,15405829,OF,2000,SF@SEA 09/15/2020 09:40PM ET,SEA,0
2B,Kaden Polcovich (15405830),Kaden Polcovich,15405830,2B,2000,SF@SEA 09/15/2020 09:40PM ET,SEA,0
