Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,Phillip Ervin (15351268),Phillip Ervin,15351268,OF,2800,SEA@ARI 09/13/2020 04:10PM ET,SEA,2.46
1B,Jake Lamb (15351308),Jake Lamb,15351308,1B,2800,SEA@ARI 09/13/2020 04:10PM ET,ARI,2.06
2B,Jose Rojas (15351315),Jose Rojas,15351315,2B,2700,LAA@COL 09/13/2020 03:10PM ET,LAA,0
OF,Jorge Ona (15351273),Jorge Ona,15351273,OF,2700,SF@SD 09/13/2020 04:10PM ET,SD,5.33
3B/SS,Tucupita Marcano (15351313),Tucupita Marcano,15351313,3B/SS,2700,SF@SD 09/13/2020 04:10PM ET,SD,0
OF,Tim Locastro (15351271),Tim Locastro,15351271,OF,2700,SEA@ARI 09/13/2020 04:10PM ET,ARI,4.21
C,Carson Kelly (15351272),Carson Kelly,15351272,C,2700,SEA@ARI 09/13/2020 04:10PM ET,ARI,3.87
C/OF,Daulton Varsho (15351274),Daulton Varsho,15351274,C/OF,2700,SEA@ARI 09/13/2020 04:10PM ET,ARI,3.88
1B,Kevin Cron (15351312),Kevin Cron,15351312,1B,2700,SEA@ARI 09/13/2020 04:10PM ET,ARI,0.75
OF,David Dahl (15351276),David Dahl,15351276,OF,2600,LAA@COL 09/13/2020 03:10PM ET,COL,4.95
2B/3B,Bret Boswell (15351318),Bret Boswell,15351318,2B/3B,2600,LAA@COL 09/13/2020 03:10PM ET,COL,0
OF,Mauricio Dubon (15351277),Mauricio Dubon,15351277,OF,2600,SF@SD 09/13/2020 04:10PM ET,SF,5.26
C,Francisco Mejia (15351317),Francisco Mejia,15351317,C,2600,SF@SD 09/13/2020 04:10PM ET,SD,2.38
C,Joseph Odom (15351278),Joseph Odom,15351278,C,2600,SEA@ARI 09/13/2020 04:10PM ET,SEA,1.46
1B,Pavin Smith (15351279),Pavin Smith,15351279,1B,2600,SEA@ARI 09/13/2020 04:10PM ET,ARI,3
SS,Geraldo Perdomo (15351316),Geraldo Perdomo,15351316,SS,2600,SEA@ARI 09/13/2020 04:10PM ET,ARI,0
C,Tony Wolters (15351280),Tony Wolters,15351280,C,2500,LAA@COL 09/13/2020 03:10PM ET,COL,2.86
