team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
CHW,9/20/2020,1,673357,Luis Robert,8,Y,CF
CHW,9/20/2020,1,570560,Yolmer Sanchez,9,Y,3B
CHW,9/20/2020,1,656302,Dylan Cease,SP,Y,
CIN,9/20/2020,1,673451,Shogo Akiyama,1,Y,LF
CIN,9/20/2020,1,592206,Nick Castellanos,2,Y,RF
CIN,9/20/2020,1,458015,Joey Votto,3,Y,1B
CIN,9/20/2020,1,553993,Eugenio Suarez,4,Y,3B
CIN,9/20/2020,1,519058,Mike Moustakas,5,Y,2B
CIN,9/20/2020,1,608385,Jesse Winker,6,Y,DH
CIN,9/20/2020,1,571718,Brian Goodwin,7,Y,CF
CIN,9/20/2020,1,520471,Freddy Galvis,8,Y,SS
CIN,9/20/2020,1,571466,Tucker Barnhart,9,Y,C
CIN,9/20/2020,1,547179,Michael Lorenzen,SP,Y,
ATL,9/20/2020,1,660670,Ronald Acuna,1,Y,CF
ATL,9/20/2020,1,518692,Freddie Freeman,2,Y,1B
ATL,9/20/2020,1,542303,Marcell Ozuna,3,Y,DH
ATL,9/20/2020,1,518595,Travis d'Arnaud,4,Y,C
ATL,9/20/2020,1,594807,Adam Duvall,5,Y,LF
ATL,9/20/2020,1,645277,Ozzie Albies,6,Y,2B
ATL,9/20/2020,1,455976,Nick Markakis,7,Y,RF
ATL,9/20/2020,1,621020,Dansby Swanson,8,Y,SS
ATL,9/20/2020,1,663586,Austin Riley,9,Y,3B
ATL,9/20/2020,1,657140,Kyle Wright,SP,Y,
NYM,9/20/2020,1,607043,Brandon Nimmo,1,Y,CF
NYM,9/20/2020,1,624424,Michael Conforto,2,Y,RF
NYM,9/20/2020,1,605204,J.D. Davis,3,Y,3B
NYM,9/20/2020,1,642086,Dominic Smith,4,Y,1B
NYM,9/20/2020,1,429664,Robinson Cano,5,Y,2B
NYM,9/20/2020,1,624413,Peter Alonso,6,Y,DH
NYM,9/20/2020,1,643446,Jeff McNeil,7,Y,LF
NYM,9/20/2020,1,665926,Andres Gimenez,8,Y,SS
NYM,9/20/2020,1,467092,Wilson Ramos,9,Y,C
NYM,9/20/2020,1,519144,Rick Porcello,SP,Y,
KC,9/20/2020,1,593160,Whit Merrifield,1,Y,RF
KC,9/20/2020,1,609275,Adalberto Mondesi,2,Y,SS
KC,9/20/2020,1,521692,Salvador Perez,3,Y,C
KC,9/20/2020,1,596748,Maikel Franco,4,Y,DH
KC,9/20/2020,1,641531,Hunter Dozier,5,Y,1B
KC,9/20/2020,1,460086,Alex Gordon,6,Y,LF
KC,9/20/2020,1,658668,Edward Olivares,7,Y,CF
KC,9/20/2020,1,625510,Erick Mejia,8,Y,3B
KC,9/20/2020,1,670032,Nicky Lopez,9,Y,2B
KC,9/20/2020,1,641745,Brad Keller,SP,Y,
MIL,9/20/2020,1,541645,Avisail Garcia,1,Y,CF
MIL,9/20/2020,1,592885,Christian Yelich,2,Y,LF
MIL,9/20/2020,1,460075,Ryan Braun,3,Y,DH
MIL,9/20/2020,1,596129,Daniel Vogelbach,4,Y,1B
MIL,9/20/2020,1,669374,Keston Hiura,5,Y,2B
MIL,9/20/2020,1,576397,Jedd Gyorko,6,Y,3B
MIL,9/20/2020,1,607054,Jace Peterson,7,Y,RF
MIL,9/20/2020,1,606115,Orlando Arcia,8,Y,SS
MIL,9/20/2020,1,553882,Omar Narvaez,9,Y,C
MIL,9/20/2020,1,458676,Josh Lindblom,SP,Y,
ARI,9/20/2020,1,668942,Josh Rojas,1,Y,2B
ARI,9/20/2020,1,656976,Pavin Smith,2,Y,LF
ARI,9/20/2020,1,572233,Christian Walker,3,Y,1B
ARI,9/20/2020,1,594777,Kole Calhoun,4,Y,RF
ARI,9/20/2020,1,500871,Eduardo Escobar,5,Y,3B
ARI,9/20/2020,1,444482,David Peralta,6,Y,DH
ARI,9/20/2020,1,605113,Nick Ahmed,7,Y,SS
ARI,9/20/2020,1,662139,Daulton Varsho,8,Y,CF
ARI,9/20/2020,1,608348,Carson Kelly,9,Y,C
ARI,9/20/2020,1,518516,Madison Bumgarner,SP,Y,
HOU,9/20/2020,1,543807,George Springer,1,N,
HOU,9/20/2020,1,608324,Alex Bregman,2,N,
HOU,9/20/2020,1,488726,Michael Brantley,3,N,
HOU,9/20/2020,1,493329,Yulieski Gurriel,4,N,
HOU,9/20/2020,1,663656,Kyle Tucker,5,N,
HOU,9/20/2020,1,621043,Carlos Correa,6,N,
HOU,9/20/2020,1,502210,Josh Reddick,7,N,
HOU,9/20/2020,1,649557,Aledmys Diaz,8,N,
HOU,9/20/2020,1,572863,Dustin Garneau,9,N,
HOU,9/20/2020,1,664353,Jose Urquidy,SP,N,
TOR,9/20/2020,1,624415,Cavan Biggio,1,N,
TOR,9/20/2020,1,666182,Bo Bichette,2,N,
TOR,9/20/2020,1,543768,Travis Shaw,3,N,
TOR,9/20/2020,1,545341,Randal Grichuk,4,N,
TOR,9/20/2020,1,665489,Vladimir Guerrero,5,N,
TOR,9/20/2020,1,666971,Lourdes Gurriel,6,N,
TOR,9/20/2020,1,542340,Jonathan Villar,7,N,
TOR,9/20/2020,1,672386,Alejandro Kirk,8,N,
TOR,9/20/2020,1,605412,Joe Panik,9,N,
TOR,9/20/2020,1,592836,Taijuan Walker,SP,N,
PHI,9/20/2020,1,457705,Andrew McCutchen,1,N,
PHI,9/20/2020,1,547180,Bryce Harper,2,N,
PHI,9/20/2020,1,664761,Alec Bohm,3,N,
PHI,9/20/2020,1,544369,Didi Gregorius,4,N,
PHI,9/20/2020,1,516416,Jean Segura,5,N,
PHI,9/20/2020,1,594838,Phil Gosselin,6,N,
PHI,9/20/2020,1,656514,Adam Haseley,7,N,
PHI,9/20/2020,1,664068,Scott Kingery,8,N,
PHI,9/20/2020,1,665561,Rafael Marchan,9,N,
PHI,9/20/2020,1,658431,Adonis Medina,SP,N,
LAD,9/20/2020,1,605141,Mookie Betts,1,N,
LAD,9/20/2020,1,608369,Corey Seager,2,N,
LAD,9/20/2020,1,621035,Chris Taylor,3,N,
LAD,9/20/2020,1,641355,Cody Bellinger,4,N,
LAD,9/20/2020,1,571970,Max Muncy,5,N,
LAD,9/20/2020,1,572041,AJ Pollock,6,N,
LAD,9/20/2020,1,669257,Will Smith,7,N,
LAD,9/20/2020,1,666158,Gavin Lux,8,N,
LAD,9/20/2020,1,571771,Kike Hernandez,9,N,
LAD,9/20/2020,1,664062,Tony Gonsolin,SP,N,
COL,9/20/2020,1,606132,Raimel Tapia,1,N,
COL,9/20/2020,1,596115,Trevor Story,2,N,
COL,9/20/2020,1,571448,Nolan Arenado,3,N,
COL,9/20/2020,1,453568,Charlie Blackmon,4,N,
COL,9/20/2020,1,607680,Kevin Pillar,5,N,
